"Zone 
 Netherlands",Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.6,LDM-2,LDM-2.4,LDM-2.8,LDM-3.2,LDM-3.6,LDM-4,LDM-4.4,LDM-4.8,LDM-5.2,LDM-5.6
NLall,AT,10,Export,"87,27","119,36","136,43","242,75","298,94","529,68","570,69","628,11","646,86","723,04","762,88","794,53","858,98","891,79","956,24","987,88"
NLall,AT,11,Export,"87,27","119,36","136,43","242,75","298,94","529,68","570,69","628,11","646,86","723,04","762,88","794,53","858,98","891,79","956,24","987,88"
NLall,AT,12,Export,"87,27","119,36","136,43","242,75","298,94","529,68","570,69","628,11","646,86","723,04","762,88","794,53","858,98","891,79","956,24","987,88"
NLall,AT,13,Export,"87,27","119,36","136,43","242,75","298,94","530,86","571,87","631,63","650,38","727,72","769,91","803,90","870,70","904,67","971,48","1.003,11"
NLall,AT,20,Export,"87,27","120,38","137,42","246,77","304,95","529,68","570,69","628,11","646,86","723,04","762,88","794,53","858,98","891,79","956,24","987,88"
NLall,AT,21,Export,"87,27","119,36","136,43","242,75","298,94","529,68","570,69","628,11","646,86","723,04","762,88","794,53","858,98","891,79","956,24","987,88"
NLall,AT,22,Export,"87,27","119,36","136,43","242,75","298,94","529,68","570,69","628,11","646,86","723,04","762,88","794,53","858,98","891,79","956,24","987,88"
NLall,AT,23,Export,"87,27","119,36","136,43","242,75","298,94","529,68","570,69","628,11","646,86","723,04","762,88","794,53","858,98","891,79","956,24","987,88"
NLall,AT,24,Export,"87,27","119,36","136,43","242,75","298,94","529,68","570,69","628,11","646,86","723,04","762,88","794,53","858,98","891,79","956,24","987,88"
NLall,AT,25,Export,"87,27","119,36","136,43","242,75","298,94","529,68","570,69","628,11","646,86","723,04","762,88","794,53","858,98","891,79","956,24","987,88"
NLall,AT,26,Export,"87,27","119,36","136,43","242,75","298,94","530,86","571,87","631,63","650,38","727,72","769,91","803,90","870,70","904,67","971,48","1.003,11"
NLall,AT,27,Export,"87,27","120,38","137,42","246,77","304,95","529,68","570,69","628,11","646,86","723,04","762,88","794,53","858,98","891,79","956,24","987,88"
NLall,AT,28,Export,"87,27","120,38","137,42","246,77","304,95","509,76","549,60","605,84","623,42","696,09","734,75","769,91","830,85","862,49","924,60","955,06"
NLall,AT,30,Export,"87,27","119,36","135,42","240,75","295,91","505,07","541,40","595,31","612,89","665,63","703,12","735,94","800,39","830,85","889,44","917,57"
NLall,AT,31,Export,"87,27","118,37","135,42","239,74","293,91","505,07","541,40","595,31","612,89","665,63","703,12","735,94","800,39","830,85","889,44","917,57"
NLall,AT,32,Export,"87,27","118,37","135,42","239,74","293,91","505,07","541,40","595,31","612,89","665,63","703,12","735,94","800,39","830,85","889,44","917,57"
NLall,AT,33,Export,"87,27","118,37","135,42","239,74","293,91","499,21","537,89","592,96","610,54","682,02","719,52","753,52","816,78","847,26","908,19","937,49"
NLall,AT,34,Export,"87,27","119,36","135,42","240,75","295,91","505,07","541,40","595,31","612,89","665,63","703,12","735,94","800,39","830,85","889,44","917,57"
NLall,AT,35,Export,"87,27","119,36","135,42","240,75","295,91","505,07","541,40","595,31","612,89","665,63","703,12","735,94","800,39","830,85","889,44","917,57"
NLall,AT,36,Export,"87,27","118,37","135,42","239,74","293,91","508,59","546,09","602,34","619,92","693,74","731,25","766,40","828,50","860,15","921,08","950,37"
NLall,AT,37,Export,"87,27","119,36","136,43","242,75","298,94","508,59","546,09","602,34","619,92","693,74","731,25","766,40","828,50","860,15","921,08","950,37"
NLall,AT,38,Export,"87,27","119,36","135,42","240,75","295,91","505,07","541,40","595,31","612,89","665,63","703,12","735,94","800,39","830,85","889,44","917,57"
NLall,AT,39,Export,"87,27","119,36","135,42","240,75","295,91","475,77","509,76","561,33","576,55","626,95","662,10","693,74","759,37","789,83","844,91","871,86"
NLall,AT,40,Export,"86,28","118,37","134,42","236,75","290,90","475,77","509,76","561,33","576,55","626,95","662,10","693,74","759,37","789,83","844,91","871,86"
NLall,AT,41,Export,"87,27","118,37","135,42","239,74","293,91","475,77","509,76","561,33","576,55","626,95","662,10","693,74","759,37","789,83","844,91","871,86"
NLall,AT,42,Export,"86,28","118,37","134,42","236,75","290,90","475,77","509,76","561,33","576,55","626,95","662,10","693,74","759,37","789,83","844,91","871,86"
NLall,AT,43,Export,"86,28","118,37","134,42","236,75","290,90","475,77","509,76","561,33","576,55","626,95","662,10","693,74","759,37","789,83","844,91","871,86"
NLall,AT,44,Export,"87,27","118,37","135,42","239,74","293,91","475,77","509,76","561,33","576,55","626,95","662,10","693,74","759,37","789,83","844,91","871,86"
NLall,AT,45,Export,"87,27","118,37","135,42","239,74","293,91","475,77","509,76","561,33","576,55","626,95","662,10","693,74","759,37","789,83","844,91","871,86"
NLall,AT,46,Export,"79,24","106,33","121,38","208,65","257,80","475,77","509,76","561,33","576,55","626,95","662,10","693,74","759,37","789,83","844,91","871,86"
NLall,AT,47,Export,"79,24","106,33","121,38","208,65","257,80","475,77","509,76","561,33","576,55","626,95","662,10","693,74","759,37","789,83","844,91","871,86"
NLall,AT,48,Export,"79,24","106,33","121,38","208,65","257,80","475,77","509,76","561,33","576,55","626,95","662,10","693,74","759,37","789,83","844,91","871,86"
NLall,AT,49,Export,"79,24","106,33","121,38","208,65","257,80","496,87","533,20","585,93","602,34","655,07","690,23","723,04","788,67","819,14","876,55","904,67"
NLall,AT,50,Export,"86,28","118,37","134,42","236,75","290,90","496,87","533,20","585,93","602,34","655,07","690,23","723,04","788,67","819,14","876,55","904,67"
NLall,AT,51,Export,"86,28","118,37","134,42","236,75","290,90","496,87","533,20","585,93","602,34","655,07","690,23","723,04","788,67","819,14","876,55","904,67"
NLall,AT,52,Export,"86,28","118,37","134,42","236,75","290,90","496,87","533,20","585,93","602,34","655,07","690,23","723,04","788,67","819,14","876,55","904,67"
NLall,AT,53,Export,"86,28","118,37","134,42","236,75","290,90","496,87","533,20","585,93","602,34","655,07","690,23","723,04","788,67","819,14","876,55","904,67"
NLall,AT,54,Export,"86,28","118,37","134,42","236,75","290,90","499,21","537,89","592,96","610,54","682,02","719,52","753,52","816,78","847,26","908,19","937,49"
NLall,AT,55,Export,"87,27","119,36","135,42","240,75","295,91","508,59","546,09","602,34","619,92","693,74","731,25","766,40","828,50","860,15","921,08","950,37"
NLall,AT,56,Export,"87,27","119,36","135,42","240,75","295,91","508,59","546,09","602,34","619,92","693,74","731,25","766,40","828,50","860,15","921,08","950,37"
NLall,AT,57,Export,"87,27","119,36","135,42","240,75","295,91","508,59","546,09","602,34","619,92","693,74","731,25","766,40","828,50","860,15","921,08","950,37"
NLall,AT,60,Export,"87,27","119,36","136,43","242,75","298,94","508,59","546,09","602,34","619,92","693,74","731,25","766,40","828,50","860,15","921,08","950,37"
NLall,AT,61,Export,"87,27","119,36","136,43","242,75","298,94","508,59","546,09","602,34","619,92","693,74","731,25","766,40","828,50","860,15","921,08","950,37"
NLall,AT,62,Export,"87,27","119,36","136,43","242,75","298,94","508,59","546,09","602,34","619,92","693,74","731,25","766,40","828,50","860,15","921,08","950,37"
NLall,AT,63,Export,"87,27","119,36","136,43","242,75","298,94","508,59","546,09","602,34","619,92","693,74","731,25","766,40","828,50","860,15","921,08","950,37"
NLall,AT,64,Export,"87,27","119,36","136,43","242,75","298,94","508,59","546,09","602,34","619,92","693,74","731,25","766,40","828,50","860,15","921,08","950,37"
NLall,AT,65,Export,"87,27","119,36","136,43","242,75","298,94","508,59","546,09","602,34","619,92","693,74","731,25","766,40","828,50","860,15","921,08","950,37"
NLall,AT,66,Export,"87,27","119,36","136,43","242,75","298,94","488,66","525,00","576,55","592,96","644,53","679,68","712,50","778,12","807,41","864,84","892,96"
NLall,AT,67,Export,"87,27","120,38","137,42","246,77","304,95","499,21","537,89","592,96","610,54","682,02","719,52","753,52","816,78","847,26","908,19","937,49"
NLall,AT,68,Export,"87,27","120,38","137,42","246,77","304,95","499,21","537,89","592,96","610,54","682,02","719,52","753,52","816,78","847,26","908,19","937,49"
NLall,AT,69,Export,"87,27","120,38","137,42","246,77","304,95","499,21","537,89","592,96","610,54","682,02","719,52","753,52","816,78","847,26","908,19","937,49"
NLall,AT,70,Export,"87,27","120,38","137,42","246,77","304,95","551,95","594,13","655,07","675,00","754,68","793,34","828,50","897,65","933,97","1.003,11","1.035,93"
NLall,AT,71,Export,"87,27","120,38","137,42","246,77","304,95","551,95","594,13","655,07","675,00","754,68","793,34","828,50","897,65","933,97","1.003,11","1.035,93"
NLall,AT,72,Export,"87,27","120,38","137,42","246,77","304,95","551,95","594,13","655,07","675,00","754,68","793,34","828,50","897,65","933,97","1.003,11","1.035,93"
NLall,AT,73,Export,"87,27","120,38","137,42","246,77","304,95","551,95","594,13","655,07","675,00","754,68","793,34","828,50","897,65","933,97","1.003,11","1.035,93"
NLall,AT,74,Export,"87,27","120,38","137,42","246,77","304,95","551,95","594,13","655,07","675,00","754,68","793,34","828,50","897,65","933,97","1.003,11","1.035,93"
NLall,AT,75,Export,"87,27","120,38","137,42","246,77","304,95","551,95","594,13","655,07","675,00","754,68","793,34","828,50","897,65","933,97","1.003,11","1.035,93"
NLall,AT,80,Export,"87,27","119,36","136,43","242,75","298,94","551,95","594,13","655,07","675,00","754,68","793,34","828,50","897,65","933,97","1.003,11","1.035,93"
NLall,AT,81,Export,"87,27","119,36","136,43","242,75","298,94","551,95","594,13","655,07","675,00","754,68","793,34","828,50","897,65","933,97","1.003,11","1.035,93"
NLall,AT,82,Export,"87,27","119,36","136,43","242,75","298,94","551,95","594,13","655,07","675,00","754,68","793,34","828,50","897,65","933,97","1.003,11","1.035,93"
NLall,AT,83,Export,"87,27","119,36","136,43","242,75","298,94","551,95","594,13","655,07","675,00","754,68","793,34","828,50","897,65","933,97","1.003,11","1.035,93"
NLall,AT,84,Export,"87,27","119,36","136,43","242,75","298,94","551,95","594,13","655,07","675,00","754,68","793,34","828,50","897,65","933,97","1.003,11","1.035,93"
NLall,AT,85,Export,"87,27","119,36","136,43","242,75","298,94","551,95","594,13","655,07","675,00","754,68","793,34","828,50","897,65","933,97","1.003,11","1.035,93"
NLall,AT,86,Export,"87,27","119,36","136,43","242,75","298,94","551,95","594,13","655,07","675,00","754,68","793,34","828,50","897,65","933,97","1.003,11","1.035,93"
NLall,AT,87,Export,"87,27","119,36","135,42","240,75","295,91","551,95","594,13","655,07","675,00","754,68","793,34","828,50","897,65","933,97","1.003,11","1.035,93"
NLall,AT,88,Export,"87,27","119,36","136,43","242,75","298,94","551,95","594,13","655,07","675,00","754,68","793,34","828,50","897,65","933,97","1.003,11","1.035,93"
NLall,AT,89,Export,"87,27","119,36","136,43","242,75","298,94","564,84","608,20","673,82","693,74","775,76","815,61","851,94","925,77","965,62","1.040,62","1.076,95"
NLall,AT,90,Export,"87,27","120,38","137,42","246,77","304,95","568,35","612,89","677,34","697,25","780,45","820,30","856,63","932,80","971,48","1.046,48","1.082,80"
NLall,AT,91,Export,"87,27","119,36","136,43","242,75","298,94","568,35","612,89","677,34","697,25","780,45","820,30","856,63","932,80","971,48","1.046,48","1.082,80"
NLall,AT,92,Export,"87,27","120,38","137,42","246,77","304,95","554,29","597,65","658,58","678,51","759,37","799,20","834,36","903,50","938,66","1.008,97","1.044,13"
NLall,AT,93,Export,"87,27","119,36","136,43","242,75","298,94","568,35","612,89","677,34","697,25","780,45","820,30","856,63","932,80","971,48","1.046,48","1.082,80"
NLall,AT,94,Export,"87,27","120,38","137,42","246,77","304,95","568,35","612,89","677,34","697,25","780,45","820,30","856,63","932,80","971,48","1.046,48","1.082,80"
NLall,AT,95,Export,"87,27","119,36","136,43","242,75","298,94","568,35","612,89","677,34","697,25","780,45","820,30","856,63","932,80","971,48","1.046,48","1.082,80"
NLall,AT,96,Export,"87,27","120,38","137,42","246,77","304,95","568,35","612,89","677,34","697,25","780,45","820,30","856,63","932,80","971,48","1.046,48","1.082,80"
NLall,AT,97,Export,"87,27","120,38","137,42","246,77","304,95","568,35","612,89","677,34","697,25","780,45","820,30","856,63","932,80","971,48","1.046,48","1.082,80"
