Zone Netherlands,Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.8,LDM-3.2,LDM-3.6,LDM-4.0,LDM-4.4,LDM-4.8,LDM-5.2,LDM-5.6,
NL,AT,10,Import,117.18,161.72,189.84,296.48,344.53,424.21,529.68,570.69,628.11,646.86,723.04,762.88,794.53,858.98,891.79,956.24,987.88,
NL,AT,11,Import,117.18,161.72,189.84,296.48,344.53,424.21,529.68,570.69,628.11,646.86,723.04,762.88,794.53,858.98,891.79,956.24,987.88,
NL,AT,12,Import,117.18,161.72,189.84,296.48,344.53,424.21,529.68,570.69,628.11,646.86,723.04,762.88,794.53,858.98,891.79,956.24,987.88,
NL,AT,13,Import,117.18,161.72,189.84,296.48,344.53,424.21,530.86,571.87,631.63,650.38,727.72,769.91,803.90,870.70,904.67,971.48,"1,003.11",
NL,AT,20,Import,117.18,162.89,191.01,299.99,350.39,430.07,529.68,570.69,628.11,646.86,723.04,762.88,794.53,858.98,891.79,956.24,987.88,
NL,AT,21,Import,117.18,161.72,189.84,296.48,344.53,424.21,529.68,570.69,628.11,646.86,723.04,762.88,794.53,858.98,891.79,956.24,987.88,
NL,AT,22,Import,117.18,161.72,189.84,296.48,344.53,424.21,529.68,570.69,628.11,646.86,723.04,762.88,794.53,858.98,891.79,956.24,987.88,
NL,AT,23,Import,117.18,161.72,189.84,296.48,344.53,424.21,529.68,570.69,628.11,646.86,723.04,762.88,794.53,858.98,891.79,956.24,987.88,
NL,AT,24,Import,117.18,161.72,189.84,296.48,344.53,424.21,529.68,570.69,628.11,646.86,723.04,762.88,794.53,858.98,891.79,956.24,987.88,
NL,AT,25,Import,117.18,161.72,189.84,296.48,344.53,424.21,529.68,570.69,628.11,646.86,723.04,762.88,794.53,858.98,891.79,956.24,987.88,
NL,AT,26,Import,117.18,161.72,189.84,296.48,344.53,424.21,530.86,571.87,631.63,650.38,727.72,769.91,803.90,870.70,904.67,971.48,"1,003.11",
NL,AT,27,Import,117.18,162.89,191.01,299.99,350.39,430.07,529.68,570.69,628.11,646.86,723.04,762.88,794.53,858.98,891.79,956.24,987.88,
NL,AT,28,Import,117.18,162.89,191.01,299.99,350.39,430.07,509.76,549.60,605.84,623.42,696.09,734.75,769.91,830.85,862.49,924.60,955.06,
NL,AT,30,Import,116.01,161.72,188.67,295.30,342.18,419.53,505.07,541.40,595.31,612.89,665.63,703.12,735.94,800.39,830.85,889.44,917.57,
