Zone Netherlands,Country,ZIP,Flow,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1,LDM-1.2,LDM-1.5,LDM-1.6,LDM-2,LDM-2.4,LDM-2.5,LDM-2.8,LDM-3,LDM-3.2,LDM-3.5,LDM-3.6,LDM-4,LDM-4.4,LDM-4.5,LDM-4.8,LDM-5.0,LDM-5.2,LDM-5.5,LDM-5.6,LDM-6.0,LDM-6.4,LDM-6.5,LDM-6.8,LDM-7.0,LDM-7.2,LDM-7.5,LDM-7.6,LDM-8.0,LDM-8.4,LDM-8.5,LDM-8.8,LDM-9.0,LDM-9.2,LDM-9.5,LDM-9.6,LDM-10.0,LDM-10.4,LDM-10.5,LDM-10.8,LDM-11.0,LDM-11.2,LDM-11.5,LDM-11.6,LDM-12.0,LDM-12.4,LDM-12.5,LDM-12.8,LDM-13.0,LDM-13.2
NL,AT,10,Export,€ 182.74,€ 200.84,€ 332.64,€ 401.68,€ 419.52,€ 497.48,€ 519.53,€ 605.10,€ 668.35,€ 695.65,€ 719.78,€ 750.74,€ 783.02,€ 811.09,€ 834.45,€ 895.08,€ 968.83,€ 997.44,€1032.07,€1081.42,€1099.26,€1150.95,€1166.44,€1232.31,€1281.12,€1312.36,€1348.30,€1380.58,€1414.17,€1463.25,€1480.04,€1524.91,€1577.66,€1599.70,€1626.46,€1658.74,€1693.64,€1725.65,€1741.13,€1808.32,€1858.44,€1893.61,€1925.62,€1959.21,€1990.17,€2027.44,€2057.36,€2100.91,€2132.65,€2137.63,€2152.56,€2166.46,€2172.48
NL,AT,11,Export,€ 182.74,€ 200.84,€ 332.64,€ 401.68,€ 419.52,€ 497.48,€ 519.53,€ 605.10,€ 668.35,€ 695.65,€ 719.78,€ 750.74,€ 783.02,€ 811.09,€ 834.45,€ 895.08,€ 968.83,€ 997.44,€1032.07,€1081.42,€1099.26,€1150.95,€1166.44,€1232.31,€1281.12,€1312.36,€1348.30,€1380.58,€1414.17,€1463.25,€1480.04,€1524.91,€1577.66,€1599.70,€1626.46,€1658.74,€1693.64,€1725.65,€1741.13,€1808.32,€1858.44,€1893.61,€1925.62,€1959.21,€1990.17,€2027.44,€2057.36,€2100.91,€2132.65,€2137.63,€2152.56,€2166.46,€2172.48
NL,AT,12,Export,€ 182.74,€ 200.84,€ 332.64,€ 401.68,€ 419.52,€ 497.48,€ 519.53,€ 605.10,€ 668.35,€ 695.65,€ 719.78,€ 750.74,€ 783.02,€ 811.09,€ 834.45,€ 895.08,€ 968.83,€ 997.44,€1032.07,€1081.42,€1099.26,€1150.95,€1166.44,€1232.31,€1281.12,€1312.36,€1348.30,€1380.58,€1414.17,€1463.25,€1480.04,€1524.91,€1577.66,€1599.70,€1626.46,€1658.74,€1693.64,€1725.65,€1741.13,€1808.32,€1858.44,€1893.61,€1925.62,€1959.21,€1990.17,€2027.44,€2057.36,€2100.91,€2132.65,€2137.63,€2152.56,€2166.46,€2172.48
NL,AT,13,Export,€ 182.74,€ 200.84,€ 332.64,€ 401.68,€ 419.52,€ 497.48,€ 519.53,€ 605.10,€ 668.35,€ 695.65,€ 719.78,€ 750.74,€ 783.02,€ 811.09,€ 834.45,€ 895.08,€ 968.83,€ 997.44,€1032.07,€1081.42,€1099.26,€1150.95,€1166.44,€1232.31,€1281.12,€1312.36,€1348.30,€1380.58,€1414.17,€1463.25,€1480.04,€1524.91,€1577.66,€1599.70,€1626.46,€1658.74,€1693.64,€1725.65,€1741.13,€1808.32,€1858.44,€1893.61,€1925.62,€1959.21,€1990.17,€2027.44,€2057.36,€2100.91,€2132.65,€2137.63,€2152.56,€2166.46,€2172.48
NL,AT,14,Export,€ 182.74,€ 200.84,€ 332.64,€ 401.68,€ 419.52,€ 497.48,€ 519.53,€ 605.10,€ 668.35,€ 695.65,€ 719.78,€ 750.74,€ 783.02,€ 811.09,€ 834.45,€ 895.08,€ 968.83,€ 997.44,€1032.07,€1081.42,€1099.26,€1150.95,€1166.44,€1232.31,€1281.12,€1312.36,€1348.30,€1380.58,€1414.17,€1463.25,€1480.04,€1524.91,€1577.66,€1599.70,€1626.46,€1658.74,€1693.64,€1725.65,€1741.13,€1808.32,€1858.44,€1893.61,€1925.62,€1959.21,€1990.17,€2027.44,€2057.36,€2100.91,€2132.65,€2137.63,€2152.56,€2166.46,€2172.48
NL,AT,15,Export,€ 182.74,€ 200.84,€ 332.64,€ 401.68,€ 419.52,€ 497.48,€ 519.53,€ 605.10,€ 668.35,€ 695.65,€ 719.78,€ 750.74,€ 783.02,€ 811.09,€ 834.45,€ 895.08,€ 968.83,€ 997.44,€1032.07,€1081.42,€1099.26,€1150.95,€1166.44,€1232.31,€1281.12,€1312.36,€1348.30,€1380.58,€1414.17,€1463.25,€1480.04,€1524.91,€1577.66,€1599.70,€1626.46,€1658.74,€1693.64,€1725.65,€1741.13,€1808.32,€1858.44,€1893.61,€1925.62,€1959.21,€1990.17,€2027.44,€2057.36,€2100.91,€2132.65,€2137.63,€2152.56,€2166.46,€2172.48
NL,AT,16,Export,€ 182.74,€ 200.84,€ 332.64,€ 401.68,€ 419.52,€ 497.48,€ 519.53,€ 605.10,€ 668.35,€ 695.65,€ 719.78,€ 750.74,€ 783.02,€ 811.09,€ 834.45,€ 895.08,€ 968.83,€ 997.44,€1032.07,€1081.42,€1099.26,€1150.95,€1166.44,€1232.31,€1281.12,€1312.36,€1348.30,€1380.58,€1414.17,€1463.25,€1480.04,€1524.91,€1577.66,€1599.70,€1626.46,€1658.74,€1693.64,€1725.65,€1741.13,€1808.32,€1858.44,€1893.61,€1925.62,€1959.21,€1990.17,€2027.44,€2057.36,€2100.91,€2132.65,€2137.63,€2152.56,€2166.46,€2172.48
NL,AT,17,Export,€ 182.74,€ 200.84,€ 332.64,€ 401.68,€ 419.52,€ 497.48,€ 519.53,€ 605.10,€ 668.35,€ 695.65,€ 719.78,€ 750.74,€ 783.02,€ 811.09,€ 834.45,€ 895.08,€ 968.83,€ 997.44,€1032.07,€1081.42,€1099.26,€1150.95,€1166.44,€1232.31,€1281.12,€1312.36,€1348.30,€1380.58,€1414.17,€1463.25,€1480.04,€1524.91,€1577.66,€1599.70,€1626.46,€1658.74,€1693.64,€1725.65,€1741.13,€1808.32,€1858.44,€1893.61,€1925.62,€1959.21,€1990.17,€2027.44,€2057.36,€2100.91,€2132.65,€2137.63,€2152.56,€2166.46,€2172.48
NL,AT,18,Export,€ 182.74,€ 200.84,€ 332.64,€ 401.68,€ 419.52,€ 497.48,€ 519.53,€ 605.10,€ 668.35,€ 695.65,€ 719.78,€ 750.74,€ 783.02,€ 811.09,€ 834.45,€ 895.08,€ 968.83,€ 997.44,€1032.07,€1081.42,€1099.26,€1150.95,€1166.44,€1232.31,€1281.12,€1312.36,€1348.30,€1380.58,€1414.17,€1463.25,€1480.04,€1524.91,€1577.66,€1599.70,€1626.46,€1658.74,€1693.64,€1725.65,€1741.13,€1808.32,€1858.44,€1893.61,€1925.62,€1959.21,€1990.17,€2027.44,€2057.36,€2100.91,€2132.65,€2137.63,€2152.56,€2166.46,€2172.48
NL,AT,19,Export,€ 182.74,€ 200.84,€ 332.64,€ 401.68,€ 419.52,€ 497.48,€ 519.53,€ 605.10,€ 668.35,€ 695.65,€ 719.78,€ 750.74,€ 783.02,€ 811.09,€ 834.45,€ 895.08,€ 968.83,€ 997.44,€1032.07,€1081.42,€1099.26,€1150.95,€1166.44,€1232.31,€1281.12,€1312.36,€1348.30,€1380.58,€1414.17,€1463.25,€1480.04,€1524.91,€1577.66,€1599.70,€1626.46,€1658.74,€1693.64,€1725.65,€1741.13,€1808.32,€1858.44,€1893.61,€1925.62,€1959.21,€1990.17,€2027.44,€2057.36,€2100.91,€2132.65,€2137.63,€2152.56,€2166.46,€2172.48
