Zone Netherlands,Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.45,LDM-0.5,LDM-0.55,LDM-0.7,LDM-0.8,LDM-1.0,LDM-1.1,LDM-1.2,LDM-1.4,LDM-1.5,LDM-1.6,LDM-1.8,LDM-2.0,LDM-2.1,LDM-2.2,LDM-2.4,LDM-2.5,LDM-2.6,LDM-2.8,LDM-3.0,LDM-3.2,LDM-3.7,LDM-4.0,LDM-4.2,LDM-4.5,LDM-4.8,LDM-5.0,LDM-5.4,LDM-5.5,LDM-6.0,LDM-6.2,LDM-6.5,LDM-6.8,LDM-7.0,LDM-7.2,LDM-7.5,LDM-8.0,LDM-8.2,LDM-8.5,LDM-8.8,LDM-9.0,LDM-9.3,LDM-9.5,LDM-10.0,LDM-10.2,LDM-10.5,LDM-10.8,LDM-11.0,LDM-11.3,LDM-11.5,LDM-12.0,LDM-12.2,LDM-12.4,LDM-12.6,LDM-12.9,LDM-13.6
NL,IT,1,Export,"€ 121.67","€ 216.89","€ 242.02","€ 264.50","€ 289.63","€ 341.60","€ 393.58","€ 438.01","€ 468.17","€ 490.39","€ 544.34","€ 653.84","€ 653.84","€ 761.76","€ 761.76","€ 871.27","€ 871.27","€ 890.27","€ 909.27","€ 928.27","€ 947.27","€ 966.27","€ 985.27","€ 1,024.94","€ 1,063.29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,IT,2,Export,"€ 121.67","€ 216.89","€ 242.02","€ 264.50","€ 289.63","€ 341.60","€ 393.58","€ 438.01","€ 468.17","€ 490.39","€ 544.34","€ 653.84","€ 653.84","€ 761.76","€ 761.76","€ 871.27","€ 871.27","€ 890.27","€ 909.27","€ 928.27","€ 947.27","€ 966.27","€ 985.27","€ 1,024.94","€ 1,063.29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,IT,3,Export,"€ 100.51","€ 149.45","€ 160.03","€ 171.93","€ 185.15","€ 208.43","€ 231.71","€ 279.31","€ 307.88","€ 322.16","€ 385.64","€ 461.82","€ 461.82","€ 539.58","€ 539.58","€ 615.76","€ 615.76","€ 629.29","€ 642.82","€ 656.36","€ 669.89","€ 683.43","€ 696.96","€ 724.73","€ 752.51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,IT,4,Export,"€ 121.67","€ 216.89","€ 242.02","€ 264.50","€ 289.63","€ 341.60","€ 393.58","€ 438.01","€ 468.17","€ 490.39","€ 544.34","€ 653.84","€ 653.84","€ 761.76","€ 761.76","€ 871.27","€ 871.27","€ 890.27","€ 909.27","€ 928.27","€ 947.27","€ 966.27","€ 985.27","€ 1,024.94","€ 1,063.29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,IT,5,Export,"€ 121.67","€ 216.89","€ 242.02","€ 264.50","€ 289.63","€ 341.60","€ 393.58","€ 438.01","€ 468.17","€ 490.39","€ 544.34","€ 653.84","€ 653.84","€ 761.76","€ 761.76","€ 871.27","€ 871.27","€ 890.27","€ 909.27","€ 928.27","€ 947.27","€ 966.27","€ 985.27","€ 1,024.94","€ 1,063.29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,IT,6,Export,"€ 121.67","€ 216.89","€ 242.02","€ 264.50","€ 289.63","€ 341.60","€ 393.58","€ 438.01","€ 468.17","€ 490.39","€ 544.34","€ 653.84","€ 653.84","€ 761.76","€ 761.76","€ 871.27","€ 871.27","€ 890.27","€ 909.27","€ 928.27","€ 947.27","€ 966.27","€ 985.27","€ 1,024.94","€ 1,063.29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,IT,7,Export,"€ 193.09","€ 309.47","€ 349.14","€ 382.21","€ 447.01","€ 585.34","€ 723.67","€ 877.62","€ 972.84","€ 1,101.38","€ 1,256.90","€ 1,507.66","€ 1,507.66","€ 1,756.81","€ 1,756.81","€ 2,007.56","€ 2,007.56","€ 2,051.65","€ 2,095.73","€ 2,139.81","€ 2,183.89","€ 2,227.98","€ 2,272.06","€ 2,361.99","€ 2,451.92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,IT,8,Export,"€ 193.09","€ 309.47","€ 349.14","€ 382.21","€ 447.01","€ 585.34","€ 723.67","€ 877.62","€ 972.84","€ 1,101.38","€ 1,256.90","€ 1,507.66","€ 1,507.66","€ 1,756.81","€ 1,756.81","€ 2,007.56","€ 2,007.56","€ 2,051.65","€ 2,095.73","€ 2,139.81","€ 2,183.89","€ 2,227.98","€ 2,272.06","€ 2,361.99","€ 2,451.92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,IT,9,Export,"€ 193.09","€ 309.47","€ 349.14","€ 382.21","€ 447.01","€ 585.34","€ 723.67","€ 877.62","€ 972.84","€ 1,101.38","€ 1,256.90","€ 1,507.66","€ 1,507.66","€ 1,756.81","€ 1,756.81","€ 2,007.56","€ 2,007.56","€ 2,051.65","€ 2,095.73","€ 2,139.81","€ 2,183.89","€ 2,227.98","€ 2,272.06","€ 2,361.99","€ 2,451.92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,IT,10,Export,"€ 121.67","€ 193.09","€ 195.73","€ 207.64","€ 232.76","€ 275.88","€ 319.00","€ 365.02","€ 393.58","€ 422.15","€ 472.93","€ 568.15","€ 568.15","€ 663.37","€ 663.37","€ 757.01","€ 757.01","€ 773.23","€ 789.45","€ 805.67","€ 821.90","€ 838.12","€ 854.34","€ 888.72","€ 923.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
