"Zone Netherlands",Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.5,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.5,LDM-2.8,LDM-3.0,LDM-3.2,LDM-3.6,LDM-4.0,LDM-4.5,LDM-4.8,LDM-5.0
NL,Fr,1,Export,"€142,45","€203,99","€239,16","€302,51","€331,55","€364,30","€416,92","€442,96","€526,03","€574,32","€622,60","€724,17","€825,74","€847,65","€923,36","€1.012,19","€1.088,36","€1.170,66","€1.216,18"
NL,Fr,2,Export,"€137,05","€175,34","€205,53","€252,78","€263,88","€292,40","€321,84","€344,04","€393,59","€413,34","€433,09","€454,56","€476,01","€490,48","€536,63","€580,84","€627,27","€672,38","€703,03"
NL,Fr,3,Export,"€134,44","€188,93","€221,48","€315,66","€335,27","€368,25","€428,41","€454,92","€519,39","€558,35","€597,32","€689,20","€781,09","€795,55","€871,31","€952,69","€1.021,43","€1.103,72","€1.149,25"
NL,Fr,4,Export,"€160,90","€236,87","€277,73","€368,28","€414,51","€452,43","€508,87","€538,64","€641,66","€725,67","€809,69","€944,21","€1.078,73","€1.100,64","€1.205,98","€1.317,11","€1.423,03","€1.535,07","€1.595,47"
NL,Fr,5,Export,"€167,30","€243,72","€285,76","€368,28","€414,51","€452,43","€508,87","€538,64","€641,66","€725,67","€809,69","€925,61","€1.041,53","€1.063,43","€1.161,35","€1.272,48","€1.370,98","€1.483,01","€1.535,97"
NL,Fr,6,Export,"€204,20","€275,22","€322,72","€413,01","€483,83","€526,09","€584,22","€617,05","€746,63","€806,60","€866,58","€893,82","€921,07","€951,20","€1.026,73","€1.134,49","€1.210,54","€1.292,68","€1.334,75"
NL,Fr,7,Export,"€151,25","€216,32","€253,62","€353,81","€394,69","€431,38","€478,23","€506,75","€595,14","€653,75","€712,35","€839,73","€967,12","€989,03","€1.079,54","€1.183,25","€1.274,29","€1.378,90","€1.431,86"
NL,Fr,8,Export,"€143,45","€189,04","€204,21","€249,95","€276,13","€305,40","€334,33","€357,03","€416,42","€439,06","€461,70","€468,86","€476,01","€490,48","€536,63","€580,84","€627,27","€672,38","€703,03"
NL,Fr,9,Export,"€157,48","€227,28","€266,48","€363,02","€426,88","€465,58","€544,63","€575,85","€693,48","€719,98","€746,48","€923,77","€1.101,06","€1.130,41","€1.235,72","€1.346,86","€1.460,22","€1.572,26","€1.640,09"
NL,Fr,10,Export,"€139,84","€195,82","€229,58","€277,85","€299,90","€330,66","€358,84","€382,53","€437,90","€471,51","€505,12","€550,09","€595,08","€616,97","€670,50","€729,58","€783,44","€843,42","€881,51"
NL,Fr,11,Export,"€157,48","€227,28","€266,48","€363,02","€431,83","€470,85","€544,63","€575,85","€693,48","€719,98","€746,48","€923,77","€1.101,06","€1.130,41","€1.235,72","€1.346,86","€1.460,22","€1.572,26","€1.640,09"
NL,Fr,12,Export,"€152,92","€219,06","€256,84","€377,50","€440,50","€480,06","€530,59","€561,23","€670,89","€722,60","€774,29","€889,30","€1.004,33","€1.026,23","€1.124,17","€1.227,87","€1.326,35","€1.430,96","€1.483,91"
NL,Fr,13,Export,"€155,46","€227,28","€266,48","€384,07","€420,69","€459,01","€507,59","€537,32","€625,71","€683,56","€741,42","€796,17","€850,93","€893,16","€968,50","€1.051,65","€1.128,69","€1.210,62","€1.251,16"
NL,Fr,14,Export,"€142,82","€201,25","€235,95","€288,49","€319,91","€351,92","€405,29","€430,86","€487,57","€530,18","€572,80","€613,69","€654,60","€669,07","€730,00","€796,51","€857,82","€925,24","€963,32"
NL,Fr,15,Export,"€152,92","€201,25","€235,95","€341,25","€387,27","€423,49","€514,96","€544,97","€637,92","€709,44","€780,96","€851,72","€922,48","€944,37","€1.027,48","€1.123,74","€1.214,80","€1.311,96","€1.364,93"
NL,Fr,16,Export,"€138,68","€197,14","€231,12","€338,03","€405,83","€443,22","€485,88","€514,73","€580,52","€620,52","€660,52","€769,18","€877,83","€892,29","€975,42","€1.071,68","€1.155,30","€1.245,03","€1.290,55"
NL,Fr,17,Export,"€145,09","€203,99","€239,16","€338,03","€405,83","€443,22","€485,88","€514,73","€580,52","€620,52","€660,52","€769,18","€877,83","€899,73","€982,86","€1.071,68","€1.155,30","€1.252,46","€1.297,98"
NL,Fr,18,Export,"€138,55","€193,03","€226,30","€293,31","€321,64","€353,77","€395,21","€420,37","€476,87","€523,20","€569,50","€623,20","€676,92","€691,38","€759,75","€826,27","€887,56","€962,42","€993,08"
NL,Fr,19,Export,"€145,86","€206,74","€242,39","€353,33","€407,08","€444,53","€493,54","€522,70","€609,77","€647,15","€684,53","€781,19","€877,83","€899,73","€982,86","€1.071,68","€1.155,30","€1.252,46","€1.297,98"
NL,Fr,21,Export,"€139,84","€195,78","€229,52","€300,44","€329,92","€362,55","€420,77","€446,97","€515,77","€544,92","€574,08","€603,18","€632,27","€646,73","€707,69","€774,21","€828,07","€895,48","€933,57"
NL,Fr,22,Export,"€139,54","€198,52","€232,74","€282,77","€322,88","€355,09","€411,80","€437,64","€494,15","€555,21","€616,27","€773,09","€929,91","€951,82","€1.034,92","€1.131,19","€1.222,23","€1.319,40","€1.372,36"
NL,Fr,23,Export,"€139,71","€195,78","€229,52","€338,03","€373,65","€409,02","€457,79","€485,48","€571,22","€619,03","€666,84","€735,13","€803,43","€825,32","€901,06","€982,44","€1.058,62","€1.140,91","€1.186,43"
NL,Fr,24,Export,"€150,17","€214,95","€252,01","€368,28","€418,21","€456,38","€498,66","€528,02","€609,77","€657,90","€706,02","€799,37","€892,71","€914,60","€997,73","€1.094,00","€1.177,61","€1.267,34","€1.320,30"
NL,Fr,25,Export,"€142,38","€203,99","€239,16","€288,04","€321,64","€353,77","€384,98","€409,74","€479,53","€521,35","€563,19","€642,38","€721,56","€743,47","€811,81","€885,76","€954,50","€1.029,35","€1.067,44"
NL,Fr,26,Export,"€144,86","€208,10","€243,98","€355,13","€394,69","€431,38","€485,88","€514,73","€609,77","€662,96","€716,14","€800,71","€885,27","€907,17","€997,73","€1.086,56","€1.170,17","€1.267,34","€1.312,87"
NL,Fr,27,Export,"€140,68","€197,14","€231,12","€279,19","€303,64","€334,63","€380,78","€405,36","€462,06","€497,00","€531,93","€544,91","€557,87","€572,33","€625,88","€684,96","€731,38","€791,36","€822,02"
NL,Fr,28,Export,"€133,98","€197,14","€231,12","€280,51","€309,89","€341,28","€392,39","€417,45","€476,83","€512,04","€547,26","€563,73","€580,18","€602,09","€655,63","€714,71","€768,57","€828,55","€859,21"
NL,Fr,29,Export,"€147,77","€210,85","€247,21","€298,57","€343,92","€377,45","€456,51","€484,15","€559,26","€614,95","€670,62","€833,76","€996,88","€1.018,78","€1.116,73","€1.220,42","€1.311,48","€1.416,09","€1.476,48"
NL,Fr,30,Export,"€154,40","€221,81","€260,05","€361,70","€420,69","€459,01","€530,59","€561,23","€640,33","€706,04","€771,77","€888,05","€1.004,33","€1.026,23","€1.124,17","€1.227,87","€1.326,35","€1.430,96","€1.483,91"
NL,Fr,31,Export,"€151,07","€219,06","€256,84","€356,45","€423,16","€461,64","€538,25","€569,20","€685,51","€715,36","€745,22","€798,07","€850,93","€893,16","€968,50","€1.051,65","€1.128,69","€1.210,62","€1.251,16"
