Zone Netherlands,Country,ZIP,Flow,"LDM-0.2,300","LDM-0.4,600","LDM-0.5,700","LDM-0.8,1100","LDM-0.9,1200","LDM-1,1300","LDM-1.2,1600","LDM-1.3,1700","LDM-1.4,1800","LDM-1.5,1900","LDM-1.6,2100","LDM-1.7,2200","LDM-1.8,2300","LDM-1.9,2400","LDM-2,2500"
NL,NL,10,Export, €  41.20 , €  65.50 , €  72.40 , €  100.00 , €  106.90 , €  113.90 , €  132.70 , €  139.50 , €  146.30 , €  153.10 , €  164.80 , €  169.60 , €  174.50 , €  179.40 , €  184.20 
NL,NL,11,Export, €  41.20 , €  65.50 , €  72.40 , €  100.00 , €  106.90 , €  113.90 , €  132.70 , €  139.50 , €  146.30 , €  153.10 , €  164.80 , €  169.60 , €  174.50 , €  179.40 , €  184.20 
NL,NL,12,Export, €  41.20 , €  65.50 , €  72.40 , €  100.00 , €  106.90 , €  113.90 , €  132.70 , €  139.50 , €  146.30 , €  153.10 , €  164.80 , €  169.60 , €  174.50 , €  179.40 , €  184.20 
NL,NL,13,Export, €  41.20 , €  65.50 , €  72.40 , €  100.00 , €  106.90 , €  113.90 , €  132.70 , €  139.50 , €  146.30 , €  153.10 , €  164.80 , €  169.60 , €  174.50 , €  179.40 , €  184.20 
NL,NL,14,Export, €  41.20 , €  65.50 , €  72.40 , €  100.00 , €  106.90 , €  113.90 , €  132.70 , €  139.50 , €  146.30 , €  153.10 , €  164.80 , €  169.60 , €  174.50 , €  179.40 , €  184.20 
NL,NL,15,Export, €  41.20 , €  65.50 , €  72.40 , €  100.00 , €  106.90 , €  113.90 , €  132.70 , €  139.50 , €  146.30 , €  153.10 , €  164.80 , €  169.60 , €  174.50 , €  179.40 , €  184.20 
NL,NL,16,Export, €  41.20 , €  65.50 , €  72.40 , €  100.00 , €  106.90 , €  113.90 , €  132.70 , €  139.50 , €  146.30 , €  153.10 , €  164.80 , €  169.60 , €  174.50 , €  179.40 , €  184.20 
NL,NL,17,Export, €  41.20 , €  65.50 , €  72.40 , €  100.00 , €  106.90 , €  113.90 , €  132.70 , €  139.50 , €  146.30 , €  153.10 , €  164.80 , €  169.60 , €  174.50 , €  179.40 , €  184.20 
NL,NL,18,Export, €  41.20 , €  65.50 , €  72.40 , €  100.00 , €  106.90 , €  113.90 , €  132.70 , €  139.50 , €  146.30 , €  153.10 , €  164.80 , €  169.60 , €  174.50 , €  179.40 , €  184.20 
NL,NL,19,Export, €  41.20 , €  65.50 , €  72.40 , €  100.00 , €  106.90 , €  113.90 , €  132.70 , €  139.50 , €  146.30 , €  153.10 , €  164.80 , €  169.60 , €  174.50 , €  179.40 , €  184.20 
NL,NL,20,Export, €  41.20 , €  65.50 , €  72.40 , €  100.00 , €  106.90 , €  113.90 , €  132.70 , €  139.50 , €  146.30 , €  153.10 , €  164.80 , €  169.60 , €  174.50 , €  179.40 , €  184.20 
NL,NL,21,Export, €  41.20 , €  65.50 , €  72.40 , €  100.00 , €  106.90 , €  113.90 , €  132.70 , €  139.50 , €  146.30 , €  153.10 , €  164.80 , €  169.60 , €  174.50 , €  179.40 , €  184.20 
NL,NL,22,Export, €  41.20 , €  65.50 , €  72.40 , €  100.00 , €  106.90 , €  113.90 , €  132.70 , €  139.50 , €  146.30 , €  153.10 , €  164.80 , €  169.60 , €  174.50 , €  179.40 , €  184.20 
NL,NL,23,Export, €  41.20 , €  65.50 , €  72.40 , €  100.00 , €  106.90 , €  113.90 , €  132.70 , €  139.50 , €  146.30 , €  153.10 , €  164.80 , €  169.60 , €  174.50 , €  179.40 , €  184.20 
NL,NL,24,Export, €  41.20 , €  65.50 , €  72.40 , €  100.00 , €  106.90 , €  113.90 , €  132.70 , €  139.50 , €  146.30 , €  153.10 , €  164.80 , €  169.60 , €  174.50 , €  179.40 , €  184.20 
NL,NL,25,Export, €  41.20 , €  65.50 , €  72.40 , €  100.00 , €  106.90 , €  113.90 , €  132.70 , €  139.50 , €  146.30 , €  153.10 , €  164.80 , €  169.60 , €  174.50 , €  179.40 , €  184.20 
NL,NL,26,Export, €  41.20 , €  65.50 , €  72.40 , €  100.00 , €  106.90 , €  113.90 , €  132.70 , €  139.50 , €  146.30 , €  153.10 , €  164.80 , €  169.60 , €  174.50 , €  179.40 , €  184.20 
NL,NL,27,Export, €  41.20 , €  65.50 , €  72.40 , €  100.00 , €  106.90 , €  113.90 , €  132.70 , €  139.50 , €  146.30 , €  153.10 , €  164.80 , €  169.60 , €  174.50 , €  179.40 , €  184.20 
NL,NL,28,Export, €  41.20 , €  65.50 , €  72.40 , €  100.00 , €  106.90 , €  113.90 , €  132.70 , €  139.50 , €  146.30 , €  153.10 , €  164.80 , €  169.60 , €  174.50 , €  179.40 , €  184.20 
NL,NL,29,Export, €  41.20 , €  65.50 , €  72.40 , €  100.00 , €  106.90 , €  113.90 , €  132.70 , €  139.50 , €  146.30 , €  153.10 , €  164.80 , €  169.60 , €  174.50 , €  179.40 , €  184.20 
