Zone Netherlands,Country,ZIP,Flow,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.5,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.5,LDM-2.8,LDM-3.0,LDM-3.2,LDM-3.5,LDM-3.6,LDM-4.0,LDM-4.4,LDM-4.5,LDM-4.8,LDM-5.0,LDM-5.2,LDM-5.5,LDM-5.6,LDM-6.0,LDM-6.4,LDM-6.5,LDM-6.8,LDM-7.0,LDM-7.2,LDM-7.5,LDM-7.6,LDM-8.0,LDM-8.4,LDM-8.5,LDM-8.8,LDM-9.0,LDM-9.2,LDM-9.5,LDM-9.6,LDM-10.0
NL,BE,10,Export,87.19,94.45,144.1,151.38,174.38,186.49,204.66,234.92,262.78,268.83,289.42,301.53,317.28,334.23,345.13,371.76,398.41,399.62,425.05,431.1,451.7,463.81,477.13,503.77,525.57,529.2,547.36,560.68,569.15,578.85,588.53,606.7,622.45,622.45,635.76,636.97,652.72,653.93,667.25,682.99
NL,BE,11,Export,87.19,94.45,144.1,151.38,174.38,186.49,204.66,234.92,262.78,268.83,289.42,301.53,317.28,334.23,345.13,371.76,398.41,399.62,425.05,431.1,451.7,463.81,477.13,503.77,525.57,529.2,547.36,560.68,569.15,578.85,588.53,606.7,622.45,622.45,635.76,636.97,652.72,653.93,667.25,682.99
NL,BE,12,Export,87.19,94.45,144.1,151.38,174.38,186.49,204.66,234.92,262.78,268.83,289.42,301.53,317.28,334.23,345.13,371.76,398.41,399.62,425.05,431.1,451.7,463.81,477.13,503.77,525.57,529.2,547.36,560.68,569.15,578.85,588.53,606.7,622.45,622.45,635.76,636.97,652.72,653.93,667.25,682.99
NL,BE,13,Export,87.19,94.45,144.1,151.38,174.38,186.49,204.66,234.92,262.78,268.83,289.42,301.53,317.28,334.23,345.13,371.76,398.41,399.62,425.05,431.1,451.7,463.81,477.13,503.77,525.57,529.2,547.36,560.68,569.15,578.85,588.53,606.7,622.45,622.45,635.76,636.97,652.72,653.93,667.25,682.99
NL,BE,14,Export,87.19,94.45,144.1,151.38,174.38,186.49,204.66,234.92,262.78,268.83,289.42,301.53,317.28,334.23,345.13,371.76,398.41,399.62,425.05,431.1,451.7,463.81,477.13,503.77,525.57,529.2,547.36,560.68,569.15,578.85,588.53,606.7,622.45,622.45,635.76,636.97,652.72,653.93,667.25,682.99
NL,BE,15,Export,87.19,94.45,144.1,151.38,174.38,186.49,204.66,234.92,262.78,268.83,289.42,301.53,317.28,334.23,345.13,371.76,398.41,399.62,425.05,431.1,451.7,463.81,477.13,503.77,525.57,529.2,547.36,560.68,569.15,578.85,588.53,606.7,622.45,622.45,635.76,636.97,652.72,653.93,667.25,682.99
NL,BE,16,Export,87.19,94.45,144.1,151.38,174.38,186.49,204.66,234.92,262.78,268.83,289.42,301.53,317.28,334.23,345.13,371.76,398.41,399.62,425.05,431.1,451.7,463.81,477.13,503.77,525.57,529.2,547.36,560.68,569.15,578.85,588.53,606.7,622.45,622.45,635.76,636.97,652.72,653.93,667.25,682.99
NL,BE,17,Export,87.19,94.45,144.1,151.38,174.38,186.49,204.66,234.92,262.78,268.83,289.42,301.53,317.28,334.23,345.13,371.76,398.41,399.62,425.05,431.1,451.7,463.81,477.13,503.77,525.57,529.2,547.36,560.68,569.15,578.85,588.53,606.7,622.45,622.45,635.76,636.97,652.72,653.93,667.25,682.99
NL,BE,18,Export,87.19,94.45,144.1,151.38,174.38,186.49,204.66,234.92,262.78,268.83,289.42,301.53,317.28,334.23,345.13,371.76,398.41,399.62,425.05,431.1,451.7,463.81,477.13,503.77,525.57,529.2,547.36,560.68,569.15,578.85,588.53,606.7,622.45,622.45,635.76,636.97,652.72,653.93,667.25,682.99
NL,BE,19,Export,87.19,94.45,144.1,151.38,174.38,186.49,204.66,234.92,262.78,268.83,289.42,301.53,317.28,334.23,345.13,371.76,398.41,399.62,425.05,431.1,451.7,463.81,477.13,503.77,525.57,529.2,547.36,560.68,569.15,578.85,588.53,606.7,622.45,622.45,635.76,636.97,652.72,653.93,667.25,682.99
