Zone Netherlands,Country,ZIP,Flow,LDM-0.41,LDM-0.51,LDM-0.81,LDM-11,LDM-1.21,LDM-1.51,LDM-1.61,LDM-21,LDM-2.41,LDM-2.51,LDM-2.81,LDM-31,LDM-3.21,LDM-3.51,LDM-3.61,LDM-41,LDM-4.41,LDM-4.51,LDM-4.81,LDM-51,LDM-51,LDM-5.51,LDM-5.61,LDM-61,LDM-6.41,LDM-6.51,LDM-6.81,LDM-71,LDM-7.21,LDM-7.51,LDM-7.61,LDM-81,LDM-8.41,LDM-8.51,LDM-8.81,LDM-91,LDM-9.21,LDM-9.51,LDM-9.61,LDM-101,LDM-10.41,LDM-10.51,LDM-10.81,LDM-111,LDM-11.21,LDM-11.51,LDM-11.61,LDM-121,LDM-12.41,LDM-12.51,LDM-12.81,LDM-13.61
NL,DK,10,Export,136,177,191,200,221,253,265,307,337,351,372,384,403,433,482,494,520,532,560,601,619,629,639,678,719,727,757,777,797,826,828,846,914,924,954,974,993,"1023","1032","1072","1111","1120","1150","1169","1189","1219","1228","1235","1244","1255","1272","1272"
NL,DK,11,Export,136,177,191,200,221,253,265,307,337,351,372,384,403,433,482,494,520,532,560,601,619,629,639,678,719,727,757,777,797,826,828,846,914,924,954,974,993,"1023","1032","1072","1111","1120","1150","1169","1189","1219","1228","1235","1244","1255","1272","1272"
NL,DK,12,Export,136,177,191,200,221,253,265,307,337,351,372,384,403,433,482,494,520,532,560,601,619,629,639,678,719,727,757,777,797,826,828,846,914,924,954,974,993,"1023","1032","1072","1111","1120","1150","1169","1189","1219","1228","1235","1244","1255","1272","1272"
NL,DK,13,Export,136,177,191,200,221,253,265,307,337,351,372,384,403,433,482,494,520,532,560,601,619,629,639,678,719,727,757,777,797,826,828,846,914,924,954,974,993,"1023","1032","1072","1111","1120","1150","1169","1189","1219","1228","1235","1244","1255","1272","1272"
NL,DK,14,Export,136,177,191,200,221,253,265,307,337,351,372,384,403,433,482,494,520,532,560,601,619,629,639,678,719,727,757,777,797,826,828,846,914,924,954,974,993,"1023","1032","1072","1111","1120","1150","1169","1189","1219","1228","1235","1244","1255","1272","1272"
NL,DK,15,Export,136,177,191,200,221,253,265,307,337,351,372,384,403,433,482,494,520,532,560,601,619,629,639,678,719,727,757,777,797,826,828,846,914,924,954,974,993,"1023","1032","1072","1111","1120","1150","1169","1189","1219","1228","1235","1244","1255","1272","1272"
NL,DK,16,Export,136,177,191,200,221,253,265,307,337,351,372,384,403,433,482,494,520,532,560,601,619,629,639,678,719,727,757,777,797,826,828,846,914,924,954,974,993,"1023","1032","1072","1111","1120","1150","1169","1189","1219","1228","1235","1244","1255","1272","1272"
NL,DK,17,Export,136,177,191,200,221,253,265,307,337,351,372,384,403,433,482,494,520,532,560,601,619,629,639,678,719,727,757,777,797,826,828,846,914,924,954,974,993,"1023","1032","1072","1111","1120","1150","1169","1189","1219","1228","1235","1244","1255","1272","1272"
NL,DK,18,Export,136,177,191,200,221,253,265,307,337,351,372,384,403,433,482,494,520,532,560,601,619,629,639,678,719,727,757,777,797,826,828,846,914,924,954,974,993,"1023","1032","1072","1111","1120","1150","1169","1189","1219","1228","1235","1244","1255","1272","1272"
NL,DK,19,Export,136,177,191,200,221,253,265,307,337,351,372,384,403,433,482,494,520,532,560,601,619,629,639,678,719,727,757,777,797,826,828,846,914,924,954,974,993,"1023","1032","1072","1111","1120","1150","1169","1189","1219","1228","1235","1244","1255","1272","1272"
