Zone Netherlands,Country,ZIP,Flow,LDM-0.4,LDM-0.5,LDM-0.6,LDM-0.7,LDM-0.8,LDM-0.9,LDM-1.00,LDM-1.10,LDM-1.20,LDM-1.30,LDM-1.40,LDM-1.50,LDM-1.60,LDM-1.70,LDM-1.80,LDM-1.90,LDM-2.00,LDM-2.10,LDM-2.20,LDM-2.30,LDM-2.40,LDM-2.50,LDM-2.60,LDM-2.70,LDM-2.80,LDM-2.90,LDM-3.00,LDM-3.10,LDM-3.20,LDM-3.30,LDM-3.40,LDM-3.50,LDM-3.60,LDM-3.70,LDM-3.80,LDM-3.90,LDM-4.00,LDM-4.10,LDM-4.20,LDM-4.30,LDM-4.40,LDM-4.50,LDM-4.60,LDM-4.70,LDM-4.80,LDM-4.90,LDM-5.00,LDM-5.10,LDM-5.20,LDM-5.30,LDM-5.40,LDM-5.50,LDM-5.60,LDM-5.70,LDM-5.80,LDM-5.90,LDM-6.00,LDM-6.10,LDM-6.20,LDM-6.30,LDM-6.40,LDM-6.50,LDM-6.60,LDM-6.70,LDM-6.80,LDM-6.90,LDM-7.00,LDM-7.10,LDM-7.20,LDM-7.30,LDM-7.40,LDM-7.50,LDM-7.60,LDM-7.70,LDM-7.80,LDM-7.90,LDM-8.00,LDM-8.10,LDM-8.20,LDM-8.30,LDM-8.40,LDM-8.50,LDM-8.60,LDM-8.70,LDM-8.80,LDM-8.90,LDM-9.00,LDM-9.10,LDM-9.20,LDM-9.30,LDM-9.40,LDM-9.50,LDM-9.60,LDM-9.70,LDM-9.80,LDM-9.90,LDM-10.00,LDM-10.10,LDM-10.20,LDM-10.30,LDM-10.40,LDM-10.50,LDM-10.60,LDM-10.70,LDM-10.80,LDM-10.90,LDM-11.00
NL1,GB,AL,Export,€251.25,€266.33,€281.40,€296.48,€311.55,€326.63,€341.70,€356.78,€371.85,€386.93,€402.00,€417.08,€432.15,€447.23,€462.30,€477.38,€485.75,€497.48,€509.20,€520.93,€532.65,€544.38,€556.10,€567.83,€579.55,€591.28,€603.00,€614.73,€626.45,€638.18,€649.90,€661.63,€673.35,€685.08,€696.80,€708.53,€720.25,€731.98,€743.70,€755.43,€767.15,€778.88,€790.60,€802.33,€814.05,€825.78,€837.50,€849.23,€860.95,€872.68,€884.40,€896.13,€907.85,€919.58,€931.30,€943.03,€954.75,€966.48,€978.20,€989.93,"€1,001.65","€1,013.38","€1,025.10","€1,036.83","€1,048.55","€1,060.28","€1,072.00","€1,083.73","€1,095.45","€1,107.18","€1,118.90","€1,130.63","€1,142.35","€1,154.08","€1,165.80","€1,177.53","€1,189.25","€1,200.98","€1,212.70","€1,224.43","€1,236.15","€1,247.88","€1,259.60","€1,271.33","€1,283.05","€1,294.78","€1,306.50","€1,318.23","€1,329.95","€1,341.68","€1,353.40","€1,365.13","€1,376.85","€1,388.58","€1,400.30","€1,412.03","€1,423.75","€1,435.48","€1,447.20","€1,458.93","€1,470.65","€1,482.38","€1,494.10","€1,505.83","€1,517.55","€1,529.28","€1,541.00"
NL1,GB,B,Export,€288.75,€306.08,€323.40,€340.73,€358.05,€375.38,€392.70,€410.03,€427.35,€444.68,€462.00,€479.33,€496.65,€513.98,€531.30,€548.63,€558.25,€571.73,€585.20,€598.68,€612.15,€625.63,€639.10,€652.58,€666.05,€679.53,€693.00,€706.48,€719.95,€733.43,€746.90,€760.38,€773.85,€787.33,€800.80,€814.28,€827.75,€841.23,€854.70,€868.18,€881.65,€895.13,€908.60,€922.08,€935.55,€949.03,€962.50,€975.98,€989.45,"€1,002.93","€1,016.40","€1,029.88","€1,043.35","€1,056.83","€1,070.30","€1,083.78","€1,097.25","€1,110.73","€1,124.20","€1,137.68","€1,151.15","€1,164.63","€1,178.10","€1,191.58","€1,205.05","€1,218.53","€1,232.00","€1,245.48","€1,258.95","€1,272.43","€1,285.90","€1,299.38","€1,312.85","€1,326.33","€1,339.80","€1,353.28","€1,366.75","€1,380.23","€1,393.70","€1,407.18","€1,420.65","€1,434.13","€1,447.60","€1,461.08","€1,474.55","€1,488.03","€1,501.50","€1,514.98","€1,528.45","€1,541.93","€1,555.40","€1,568.88","€1,582.35","€1,595.83","€1,609.30","€1,622.78","€1,636.25","€1,649.73","€1,663.20","€1,676.68","€1,690.15","€1,703.63","€1,717.10","€1,730.58","€1,744.05","€1,757.53","€1,771.00"
NL1,GB,BA,Export,€322.50,€341.85,€361.20,€380.55,€399.90,€419.25,€438.60,€457.95,€477.30,€496.65,€516.00,€535.35,€554.70,€574.05,€593.40,€612.75,€623.50,€638.55,€653.60,€668.65,€683.70,€698.75,€713.80,€728.85,€743.90,€758.95,€774.00,€789.05,€804.10,€819.15,€834.20,€849.25,€864.30,€879.35,€894.40,€909.45,€924.50,€939.55,€954.60,€969.65,€984.70,€999.75,"€1,014.80","€1,029.85","€1,044.90","€1,059.95","€1,075.00","€1,090.05","€1,105.10","€1,120.15","€1,135.20","€1,150.25","€1,165.30","€1,180.35","€1,195.40","€1,210.45","€1,225.50","€1,240.55","€1,255.60","€1,270.65","€1,285.70","€1,300.75","€1,315.80","€1,330.85","€1,345.90","€1,360.95","€1,376.00","€1,391.05","€1,406.10","€1,421.15","€1,436.20","€1,451.25","€1,466.30","€1,481.35","€1,496.40","€1,511.45","€1,526.50","€1,541.55","€1,556.60","€1,571.65","€1,586.70","€1,601.75","€1,616.80","€1,631.85","€1,646.90","€1,661.95","€1,677.00","€1,692.05","€1,707.10","€1,722.15","€1,737.20","€1,752.25","€1,767.30","€1,782.35","€1,797.40","€1,812.45","€1,827.50","€1,842.55","€1,857.60","€1,872.65","€1,887.70","€1,902.75","€1,917.80","€1,932.85","€1,947.90","€1,962.95","€1,978.00"
NL1,GB,BB,Export,€285.00,€302.10,€319.20,€336.30,€353.40,€370.50,€387.60,€404.70,€421.80,€438.90,€456.00,€473.10,€490.20,€507.30,€524.40,€541.50,€551.00,€564.30,€577.60,€590.90,€604.20,€617.50,€630.80,€644.10,€657.40,€670.70,€684.00,€697.30,€710.60,€723.90,€737.20,€750.50,€763.80,€777.10,€790.40,€803.70,€817.00,€830.30,€843.60,€856.90,€870.20,€883.50,€896.80,€910.10,€923.40,€936.70,€950.00,€963.30,€976.60,€989.90,"€1,003.20","€1,016.50","€1,029.80","€1,043.10","€1,056.40","€1,069.70","€1,083.00","€1,096.30","€1,109.60","€1,122.90","€1,136.20","€1,149.50","€1,162.80","€1,176.10","€1,189.40","€1,202.70","€1,216.00","€1,229.30","€1,242.60","€1,255.90","€1,269.20","€1,282.50","€1,295.80","€1,309.10","€1,322.40","€1,335.70","€1,349.00","€1,362.30","€1,375.60","€1,388.90","€1,402.20","€1,415.50","€1,428.80","€1,442.10","€1,455.40","€1,468.70","€1,482.00","€1,495.30","€1,508.60","€1,521.90","€1,535.20","€1,548.50","€1,561.80","€1,575.10","€1,588.40","€1,601.70","€1,615.00","€1,628.30","€1,641.60","€1,654.90","€1,668.20","€1,681.50","€1,694.80","€1,708.10","€1,721.40","€1,734.70","€1,748.00"
NL1,GB,BD,Export,€277.50,€294.15,€310.80,€327.45,€344.10,€360.75,€377.40,€394.05,€410.70,€427.35,€444.00,€460.65,€477.30,€493.95,€510.60,€527.25,€536.50,€549.45,€562.40,€575.35,€588.30,€601.25,€614.20,€627.15,€640.10,€653.05,€666.00,€678.95,€691.90,€704.85,€717.80,€730.75,€743.70,€756.65,€769.60,€782.55,€795.50,€808.45,€821.40,€834.35,€847.30,€860.25,€873.20,€886.15,€899.10,€912.05,€925.00,€937.95,€950.90,€963.85,€976.80,€989.75,"€1,002.70","€1,015.65","€1,028.60","€1,041.55","€1,054.50","€1,067.45","€1,080.40","€1,093.35","€1,106.30","€1,119.25","€1,132.20","€1,145.15","€1,158.10","€1,171.05","€1,184.00","€1,196.95","€1,209.90","€1,222.85","€1,235.80","€1,248.75","€1,261.70","€1,274.65","€1,287.60","€1,300.55","€1,313.50","€1,326.45","€1,339.40","€1,352.35","€1,365.30","€1,378.25","€1,391.20","€1,404.15","€1,417.10","€1,430.05","€1,443.00","€1,455.95","€1,468.90","€1,481.85","€1,494.80","€1,507.75","€1,520.70","€1,533.65","€1,546.60","€1,559.55","€1,572.50","€1,585.45","€1,598.40","€1,611.35","€1,624.30","€1,637.25","€1,650.20","€1,663.15","€1,676.10","€1,689.05","€1,702.00"
NL1,GB,BH,Export,€311.25,€329.93,€348.60,€367.28,€385.95,€404.63,€423.30,€441.98,€460.65,€479.33,€498.00,€516.68,€535.35,€554.03,€572.70,€591.38,€601.75,€616.28,€630.80,€645.33,€659.85,€674.38,€688.90,€703.43,€717.95,€732.48,€747.00,€761.53,€776.05,€790.58,€805.10,€819.63,€834.15,€848.68,€863.20,€877.73,€892.25,€906.78,€921.30,€935.83,€950.35,€964.88,€979.40,€993.93,"€1,008.45","€1,022.98","€1,037.50","€1,052.03","€1,066.55","€1,081.08","€1,095.60","€1,110.13","€1,124.65","€1,139.18","€1,153.70","€1,168.23","€1,182.75","€1,197.28","€1,211.80","€1,226.33","€1,240.85","€1,255.38","€1,269.90","€1,284.43","€1,298.95","€1,313.48","€1,328.00","€1,342.53","€1,357.05","€1,371.58","€1,386.10","€1,400.63","€1,415.15","€1,429.68","€1,444.20","€1,458.73","€1,473.25","€1,487.78","€1,502.30","€1,516.83","€1,531.35","€1,545.88","€1,560.40","€1,574.93","€1,589.45","€1,603.98","€1,618.50","€1,633.03","€1,647.55","€1,662.08","€1,676.60","€1,691.13","€1,705.65","€1,720.18","€1,734.70","€1,749.23","€1,763.75","€1,778.28","€1,792.80","€1,807.33","€1,821.85","€1,836.38","€1,850.90","€1,865.43","€1,879.95","€1,894.48","€1,909.00"
NL1,GB,BL,Export,€285.00,€302.10,€319.20,€336.30,€353.40,€370.50,€387.60,€404.70,€421.80,€438.90,€456.00,€473.10,€490.20,€507.30,€524.40,€541.50,€551.00,€564.30,€577.60,€590.90,€604.20,€617.50,€630.80,€644.10,€657.40,€670.70,€684.00,€697.30,€710.60,€723.90,€737.20,€750.50,€763.80,€777.10,€790.40,€803.70,€817.00,€830.30,€843.60,€856.90,€870.20,€883.50,€896.80,€910.10,€923.40,€936.70,€950.00,€963.30,€976.60,€989.90,"€1,003.20","€1,016.50","€1,029.80","€1,043.10","€1,056.40","€1,069.70","€1,083.00","€1,096.30","€1,109.60","€1,122.90","€1,136.20","€1,149.50","€1,162.80","€1,176.10","€1,189.40","€1,202.70","€1,216.00","€1,229.30","€1,242.60","€1,255.90","€1,269.20","€1,282.50","€1,295.80","€1,309.10","€1,322.40","€1,335.70","€1,349.00","€1,362.30","€1,375.60","€1,388.90","€1,402.20","€1,415.50","€1,428.80","€1,442.10","€1,455.40","€1,468.70","€1,482.00","€1,495.30","€1,508.60","€1,521.90","€1,535.20","€1,548.50","€1,561.80","€1,575.10","€1,588.40","€1,601.70","€1,615.00","€1,628.30","€1,641.60","€1,654.90","€1,668.20","€1,681.50","€1,694.80","€1,708.10","€1,721.40","€1,734.70","€1,748.00"
NL1,GB,BN,Export,€266.25,€282.23,€298.20,€314.18,€330.15,€346.13,€362.10,€378.08,€394.05,€410.03,€426.00,€441.98,€457.95,€473.93,€489.90,€505.88,€514.75,€527.18,€539.60,€552.03,€564.45,€576.88,€589.30,€601.73,€614.15,€626.58,€639.00,€651.43,€663.85,€676.28,€688.70,€701.13,€713.55,€725.98,€738.40,€750.83,€763.25,€775.68,€788.10,€800.53,€812.95,€825.38,€837.80,€850.23,€862.65,€875.08,€887.50,€899.93,€912.35,€924.78,€937.20,€949.63,€962.05,€974.48,€986.90,€999.33,"€1,011.75","€1,024.18","€1,036.60","€1,049.03","€1,061.45","€1,073.88","€1,086.30","€1,098.73","€1,111.15","€1,123.58","€1,136.00","€1,148.43","€1,160.85","€1,173.28","€1,185.70","€1,198.13","€1,210.55","€1,222.98","€1,235.40","€1,247.83","€1,260.25","€1,272.68","€1,285.10","€1,297.53","€1,309.95","€1,322.38","€1,334.80","€1,347.23","€1,359.65","€1,372.08","€1,384.50","€1,396.93","€1,409.35","€1,421.78","€1,434.20","€1,446.63","€1,459.05","€1,471.48","€1,483.90","€1,496.33","€1,508.75","€1,521.18","€1,533.60","€1,546.03","€1,558.45","€1,570.88","€1,583.30","€1,595.73","€1,608.15","€1,620.58","€1,633.00"
NL1,GB,BR,Export,€255.00,€270.30,€285.60,€300.90,€316.20,€331.50,€346.80,€362.10,€377.40,€392.70,€408.00,€423.30,€438.60,€453.90,€469.20,€484.50,€493.00,€504.90,€516.80,€528.70,€540.60,€552.50,€564.40,€576.30,€588.20,€600.10,€612.00,€623.90,€635.80,€647.70,€659.60,€671.50,€683.40,€695.30,€707.20,€719.10,€731.00,€742.90,€754.80,€766.70,€778.60,€790.50,€802.40,€814.30,€826.20,€838.10,€850.00,€861.90,€873.80,€885.70,€897.60,€909.50,€921.40,€933.30,€945.20,€957.10,€969.00,€980.90,€992.80,"€1,004.70","€1,016.60","€1,028.50","€1,040.40","€1,052.30","€1,064.20","€1,076.10","€1,088.00","€1,099.90","€1,111.80","€1,123.70","€1,135.60","€1,147.50","€1,159.40","€1,171.30","€1,183.20","€1,195.10","€1,207.00","€1,218.90","€1,230.80","€1,242.70","€1,254.60","€1,266.50","€1,278.40","€1,290.30","€1,302.20","€1,314.10","€1,326.00","€1,337.90","€1,349.80","€1,361.70","€1,373.60","€1,385.50","€1,397.40","€1,409.30","€1,421.20","€1,433.10","€1,445.00","€1,456.90","€1,468.80","€1,480.70","€1,492.60","€1,504.50","€1,516.40","€1,528.30","€1,540.20","€1,552.10","€1,564.00"
NL1,GB,BS,Export,€311.25,€329.93,€348.60,€367.28,€385.95,€404.63,€423.30,€441.98,€460.65,€479.33,€498.00,€516.68,€535.35,€554.03,€572.70,€591.38,€601.75,€616.28,€630.80,€645.33,€659.85,€674.38,€688.90,€703.43,€717.95,€732.48,€747.00,€761.53,€776.05,€790.58,€805.10,€819.63,€834.15,€848.68,€863.20,€877.73,€892.25,€906.78,€921.30,€935.83,€950.35,€964.88,€979.40,€993.93,"€1,008.45","€1,022.98","€1,037.50","€1,052.03","€1,066.55","€1,081.08","€1,095.60","€1,110.13","€1,124.65","€1,139.18","€1,153.70","€1,168.23","€1,182.75","€1,197.28","€1,211.80","€1,226.33","€1,240.85","€1,255.38","€1,269.90","€1,284.43","€1,298.95","€1,313.48","€1,328.00","€1,342.53","€1,357.05","€1,371.58","€1,386.10","€1,400.63","€1,415.15","€1,429.68","€1,444.20","€1,458.73","€1,473.25","€1,487.78","€1,502.30","€1,516.83","€1,531.35","€1,545.88","€1,560.40","€1,574.93","€1,589.45","€1,603.98","€1,618.50","€1,633.03","€1,647.55","€1,662.08","€1,676.60","€1,691.13","€1,705.65","€1,720.18","€1,734.70","€1,749.23","€1,763.75","€1,778.28","€1,792.80","€1,807.33","€1,821.85","€1,836.38","€1,850.90","€1,865.43","€1,879.95","€1,894.48","€1,909.00"
