Zone Netherlands,Country,ZIP,Flow,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.5,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.5,LDM-2.8,LDM-3.0,LDM-3.2,LDM-3.5,LDM-3.6,LDM-4.0,LDM-4.4,LDM-4.5,LDM-4.8,LDM-5.0,LDM-5.2,LDM-5.5,LDM-5.6,LDM-6.0,LDM-6.4,LDM-6.5,LDM-6.8,LDM-7.0,LDM-7.2,LDM-7.5,LDM-7.6,LDM-8.0,LDM-8.4,LDM-8.5,LDM-8.8,LDM-9.0,LDM-9.2,LDM-9.5,LDM-9.6,LDM-10.0,LDM-10.4,LDM-10.5,LDM-10.8,LDM-11.0,LDM-11.2,LDM-11.5,LDM-11.6,LDM-12.0,LDM-12.4,LDM-12.5,LDM-12.8,LDM-13.6
NL,FR,59,Export,€146,€158,€166,€177,€192,€208,€217,€247,€265,€270,€288,€300,€305,€320,€326,€339,€357,€368,€378,€389,€399,€410,€415,€425,€434,€438,€456,€458,€476,€498,€502,€511,€517,€518,€544,€560,€566,€575,€578,€590,€602,€604,€619,€633,€639,€648,€651,€662,€677,€693,€702,€709
NL,FR,8,Export,€159,€179,€209,€230,€248,€268,€277,€320,€343,€353,€371,€388,€397,€413,€423,€438,€464,€471,€487,€499,€514,€528,€533,€549,€560,€563,€592,€602,€617,€640,€643,€657,€670,€672,€692,€706,€712,€722,€725,€736,€749,€752,€766,€779,€785,€796,€799,€808,€829,€833,€850,€861
NL,FR,9,Export,€159,€179,€209,€230,€248,€268,€277,€320,€343,€353,€371,€388,€397,€413,€423,€438,€464,€471,€487,€499,€514,€528,€533,€549,€560,€563,€592,€602,€617,€640,€643,€657,€670,€672,€692,€706,€712,€722,€725,€736,€749,€752,€766,€779,€785,€796,€799,€808,€829,€833,€850,€861
NL,FR,10,Export,€159,€179,€209,€230,€248,€268,€277,€320,€343,€353,€371,€388,€397,€413,€423,€438,€464,€471,€487,€499,€514,€528,€533,€549,€560,€563,€592,€602,€617,€640,€643,€657,€670,€672,€692,€706,€712,€722,€725,€736,€749,€752,€766,€779,€785,€796,€799,€808,€829,€833,€850,€861
NL,FR,11,Export,€159,€179,€209,€230,€248,€268,€277,€320,€343,€353,€371,€388,€397,€413,€423,€438,€464,€471,€487,€499,€514,€528,€533,€549,€560,€563,€592,€602,€617,€640,€643,€657,€670,€672,€692,€706,€712,€722,€725,€736,€749,€752,€766,€779,€785,€796,€799,€808,€829,€833,€850,€861
NL,FR,12,Export,€159,€179,€209,€230,€248,€268,€277,€320,€343,€353,€371,€388,€397,€413,€423,€438,€464,€471,€487,€499,€514,€528,€533,€549,€560,€563,€592,€602,€617,€640,€643,€657,€670,€672,€692,€706,€712,€722,€725,€736,€749,€752,€766,€779,€785,€796,€799,€808,€829,€833,€850,€861
NL,FR,13,Export,€159,€179,€209,€230,€248,€268,€277,€320,€343,€353,€371,€388,€397,€413,€423,€438,€464,€471,€487,€499,€514,€528,€533,€549,€560,€563,€592,€602,€617,€640,€643,€657,€670,€672,€692,€706,€712,€722,€725,€736,€749,€752,€766,€779,€785,€796,€799,€808,€829,€833,€850,€861
NL,FR,14,Export,€159,€179,€209,€230,€248,€268,€277,€320,€343,€353,€371,€388,€397,€413,€423,€438,€464,€471,€487,€499,€514,€528,€533,€549,€560,€563,€592,€602,€617,€640,€643,€657,€670,€672,€692,€706,€712,€722,€725,€736,€749,€752,€766,€779,€785,€796,€799,€808,€829,€833,€850,€861
NL,FR,15,Export,€159,€179,€209,€230,€248,€268,€277,€320,€343,€353,€371,€388,€397,€413,€423,€438,€464,€471,€487,€499,€514,€528,€533,€549,€560,€563,€592,€602,€617,€640,€643,€657,€670,€672,€692,€706,€712,€722,€725,€736,€749,€752,€766,€779,€785,€796,€799,€808,€829,€833,€850,€861
NL,FR,16,Export,€159,€179,€209,€230,€248,€268,€277,€320,€343,€353,€371,€388,€397,€413,€423,€438,€464,€471,€487,€499,€514,€528,€533,€549,€560,€563,€592,€602,€617,€640,€643,€657,€670,€672,€692,€706,€712,€722,€725,€736,€749,€752,€766,€779,€785,€796,€799,€808,€829,€833,€850,€861
