Zone Netherlands,Country,ZIP,Flow,LDM-0.4,LDM-0.5,LDM-0.6,LDM-0.7,LDM-0.8,LDM-0.9,LDM-1.0,LDM-1.1,LDM-1.2,LDM-1.3,LDM-1.4,LDM-1.5,LDM-1.6,LDM-1.7,LDM-1.8,LDM-1.9,LDM-2,LDM-2.1,LDM-2.2,LDM-2.3,LDM-2.4,LDM-2.5,LDM-2.6,LDM-2.7,LDM-2.8,LDM-2.9,LDM-3,LDM-3.1,LDM-3.2,LDM-3.3,LDM-3.4,LDM-3.5,LDM-3.6,LDM-3.7,LDM-3.8,LDM-3.9,LDM-4,LDM-4.1,LDM-4.2,LDM-4.3,LDM-4.4,LDM-4.5,LDM-4.6,LDM-4.7,LDM-4.8,LDM-4.9,LDM-5,LDM-5.1,LDM-5.2,LDM-5.3,LDM-5.4,LDM-5.5,LDM-5.6,LDM-5.7,LDM-5.8,LDM-5.9,LDM-6
NL,SE,20,Import,€203,€208,€212,€218,€221,€227,€233,€246,€263,€279,€296,€313,€325,€341,€357,€364,€367,€371,€379,€392,€406,€420,€425,€439,€451,€465,€479,€481,€489,€500,€508,€517,€518,€526,€536,€545,€553,€557,€566,€576,€584,€593,€601,€610,€620,€628,€637,€640,€649,€659,€667,€675,€684,€692,€702,€711,€719
NL,SE,21,Import,€203,€208,€212,€218,€221,€227,€233,€246,€263,€279,€296,€313,€325,€341,€357,€364,€367,€371,€379,€392,€406,€420,€425,€439,€451,€465,€479,€481,€489,€500,€508,€517,€518,€526,€536,€545,€553,€557,€566,€576,€584,€593,€601,€610,€620,€628,€637,€640,€649,€659,€667,€675,€684,€692,€702,€711,€719
NL,SE,22,Import,€203,€208,€212,€218,€221,€227,€233,€246,€263,€279,€296,€313,€325,€341,€357,€364,€367,€371,€379,€392,€406,€420,€425,€439,€451,€465,€479,€481,€489,€500,€508,€517,€518,€526,€536,€545,€553,€557,€566,€576,€584,€593,€601,€610,€620,€628,€637,€640,€649,€659,€667,€675,€684,€692,€702,€711,€719
NL,SE,23,Import,€203,€208,€212,€218,€221,€227,€233,€246,€263,€279,€296,€313,€325,€341,€357,€364,€367,€371,€379,€392,€406,€420,€425,€439,€451,€465,€479,€481,€489,€500,€508,€517,€518,€526,€536,€545,€553,€557,€566,€576,€584,€593,€601,€610,€620,€628,€637,€640,€649,€659,€667,€675,€684,€692,€702,€711,€719
NL,SE,24,Import,€203,€208,€212,€218,€221,€227,€233,€246,€263,€279,€296,€313,€325,€341,€357,€364,€367,€371,€379,€392,€406,€420,€425,€439,€451,€465,€479,€481,€489,€500,€508,€517,€518,€526,€536,€545,€553,€557,€566,€576,€584,€593,€601,€610,€620,€628,€637,€640,€649,€659,€667,€675,€684,€692,€702,€711,€719
NL,SE,25,Import,€203,€208,€212,€218,€221,€227,€233,€246,€263,€279,€296,€313,€325,€341,€357,€364,€367,€371,€379,€392,€406,€420,€425,€439,€451,€465,€479,€481,€489,€500,€508,€517,€518,€526,€536,€545,€553,€557,€566,€576,€584,€593,€601,€610,€620,€628,€637,€640,€649,€659,€667,€675,€684,€692,€702,€711,€719
NL,SE,26,Import,€203,€208,€212,€218,€221,€227,€233,€246,€263,€279,€296,€313,€325,€341,€357,€364,€367,€371,€379,€392,€406,€420,€425,€439,€451,€465,€479,€481,€489,€500,€508,€517,€518,€526,€536,€545,€553,€557,€566,€576,€584,€593,€601,€610,€620,€628,€637,€640,€649,€659,€667,€675,€684,€692,€702,€711,€719
NL,SE,27,Import,€203,€208,€212,€218,€221,€227,€233,€246,€263,€279,€296,€313,€325,€341,€357,€364,€367,€371,€379,€392,€406,€420,€425,€439,€451,€465,€479,€481,€489,€500,€508,€517,€518,€526,€536,€545,€553,€557,€566,€576,€584,€593,€601,€610,€620,€628,€637,€640,€649,€659,€667,€675,€684,€692,€702,€711,€719
NL,SE,28,Import,€206,€212,€218,€223,€229,€235,€240,€259,€281,€303,€326,€348,€365,€387,€408,€430,€434,€431,€437,€453,€469,€485,€490,€506,€522,€537,€553,€555,€566,€576,€586,€597,€598,€608,€618,€628,€638,€644,€654,€664,€674,€684,€694,€704,€715,€725,€735,€739,€749,€759,€769,€779,€789,€799,€809,€819,€829
NL,SE,29,Import,€206,€212,€218,€223,€229,€235,€240,€259,€281,€303,€326,€348,€365,€387,€408,€430,€434,€431,€437,€453,€469,€485,€490,€506,€522,€537,€553,€555,€566,€576,€586,€597,€598,€608,€618,€628,€638,€644,€654,€664,€674,€684,€694,€704,€715,€725,€735,€739,€749,€759,€769,€779,€789,€799,€809,€819,€829
