Zone Netherlands,Country,ZIP,Flow,LDM-0.41,LDM-0.51,LDM-0.61,LDM-0.71,LDM-0.81,LDM-0.91,LDM-1.01,LDM-1.21,LDM-1.51,LDM-1.61,LDM-2.01,LDM-2.41,LDM-2.51,LDM-2.81,LDM-3.01,LDM-3.21,LDM-3.51,LDM-3.61,LDM-4.01,LDM-4.41,LDM-4.51,LDM-4.81,LDM-5.01,LDM-5.21,LDM-5.51,LDM-5.61,LDM-6.01,LDM-6.41,LDM-6.51,LDM-6.81,LDM-7.01,LDM-7.21,LDM-7.51,LDM-7.61,LDM-8.01,LDM-8.41,LDM-8.51,LDM-8.81,LDM-9.01,LDM-9.21,LDM-9.51,LDM-9.61,LDM-10.1,LDM-10.41,LDM-10.51,LDM-10.81,LDM-11.01,LDM-11.21,LDM-11.51,LDM-11.61,LDM-12.01,LDM-12.41,LDM-12.51,LDM-12.81,LDM-13.01,LDM-13.21
NLR,BE,20,Export,€  61.270 ,€  72.820 ,€  78.760 ,€  83.60 ,€  89.540 ,€  95.480 ,€  102.630 ,€  116.930 ,€  136.070 ,€  154.0 ,€  185.020 ,€  213.620 ,€  227.920 ,€  235.070 ,€  241.010 ,€  253.0 ,€  269.720 ,€  276.870 ,€  299.530 ,€  331.320 ,€  339.460 ,€  347.490 ,€  355.630 ,€  363.770 ,€  371.910 ,€  379.940 ,€  391.490 ,€  396.220 ,€  398.310 ,€  400.40 ,€  402.380 ,€  404.470 ,€  406.340 ,€  408.320 ,€  411.950 ,€  415.580 ,€  417.560 ,€  419.430 ,€  421.520 ,€  423.50 ,425.59,€  427.680 ,€  436.370 ,€  445.610 ,€  450.340 ,€  455.070 ,€  459.580 ,€  464.20 ,€  468.050 ,€  471.90 ,€  478.610 ,€  488.950 ,€  494.780 ,€  500.610 ,€  506.880 ,€  513.150 
NLR,BE,21,Export,€  61.270 ,€  72.820 ,€  78.760 ,€  83.60 ,€  89.540 ,€  95.480 ,€  102.630 ,€  116.930 ,€  136.070 ,€  154.0 ,€  185.020 ,€  213.620 ,€  227.920 ,€  235.070 ,€  241.010 ,€  253.0 ,€  269.720 ,€  276.870 ,€  299.530 ,€  331.320 ,€  339.460 ,€  347.490 ,€  355.630 ,€  363.770 ,€  371.910 ,€  379.940 ,€  391.490 ,€  396.220 ,€  398.310 ,€  400.40 ,€  402.380 ,€  404.470 ,€  406.340 ,€  408.320 ,€  411.950 ,€  415.580 ,€  417.560 ,€  419.430 ,€  421.520 ,€  423.50 ,425.59,€  427.680 ,€  436.370 ,€  445.610 ,€  450.340 ,€  455.070 ,€  459.580 ,€  464.20 ,€  468.050 ,€  471.90 ,€  478.610 ,€  488.950 ,€  494.780 ,€  500.610 ,€  506.880 ,€  513.150 
NLR,BE,22,Export,€  61.270 ,€  72.820 ,€  78.760 ,€  83.60 ,€  89.540 ,€  95.480 ,€  102.630 ,€  116.930 ,€  136.070 ,€  154.0 ,€  185.020 ,€  213.620 ,€  227.920 ,€  235.070 ,€  241.010 ,€  253.0 ,€  269.720 ,€  276.870 ,€  299.530 ,€  331.320 ,€  339.460 ,€  347.490 ,€  355.630 ,€  363.770 ,€  371.910 ,€  379.940 ,€  391.490 ,€  396.220 ,€  398.310 ,€  400.40 ,€  402.380 ,€  404.470 ,€  406.340 ,€  408.320 ,€  411.950 ,€  415.580 ,€  417.560 ,€  419.430 ,€  421.520 ,€  423.50 ,425.59,€  427.680 ,€  436.370 ,€  445.610 ,€  450.340 ,€  455.070 ,€  459.580 ,€  464.20 ,€  468.050 ,€  471.90 ,€  478.610 ,€  488.950 ,€  494.780 ,€  500.610 ,€  506.880 ,€  513.150 
NLR,BE,23,Export,€  61.270 ,€  72.820 ,€  78.760 ,€  83.60 ,€  89.540 ,€  95.480 ,€  102.630 ,€  116.930 ,€  136.070 ,€  154.0 ,€  185.020 ,€  213.620 ,€  227.920 ,€  235.070 ,€  241.010 ,€  253.0 ,€  269.720 ,€  276.870 ,€  299.530 ,€  331.320 ,€  339.460 ,€  347.490 ,€  355.630 ,€  363.770 ,€  371.910 ,€  379.940 ,€  391.490 ,€  396.220 ,€  398.310 ,€  400.40 ,€  402.380 ,€  404.470 ,€  406.340 ,€  408.320 ,€  411.950 ,€  415.580 ,€  417.560 ,€  419.430 ,€  421.520 ,€  423.50 ,425.59,€  427.680 ,€  436.370 ,€  445.610 ,€  450.340 ,€  455.070 ,€  459.580 ,€  464.20 ,€  468.050 ,€  471.90 ,€  478.610 ,€  488.950 ,€  494.780 ,€  500.610 ,€  506.880 ,€  513.150 
NLR,BE,24,Export,€  61.270 ,€  72.820 ,€  78.760 ,€  83.60 ,€  89.540 ,€  95.480 ,€  102.630 ,€  116.930 ,€  136.070 ,€  154.0 ,€  185.020 ,€  213.620 ,€  227.920 ,€  235.070 ,€  241.010 ,€  253.0 ,€  269.720 ,€  276.870 ,€  299.530 ,€  331.320 ,€  339.460 ,€  347.490 ,€  355.630 ,€  363.770 ,€  371.910 ,€  379.940 ,€  391.490 ,€  396.220 ,€  398.310 ,€  400.40 ,€  402.380 ,€  404.470 ,€  406.340 ,€  408.320 ,€  411.950 ,€  415.580 ,€  417.560 ,€  419.430 ,€  421.520 ,€  423.50 ,425.59,€  427.680 ,€  436.370 ,€  445.610 ,€  450.340 ,€  455.070 ,€  459.580 ,€  464.20 ,€  468.050 ,€  471.90 ,€  478.610 ,€  488.950 ,€  494.780 ,€  500.610 ,€  506.880 ,€  513.150 
NLR,BE,25,Export,€  61.270 ,€  72.820 ,€  78.760 ,€  83.60 ,€  89.540 ,€  95.480 ,€  102.630 ,€  116.930 ,€  136.070 ,€  154.0 ,€  185.020 ,€  213.620 ,€  227.920 ,€  235.070 ,€  241.010 ,€  253.0 ,€  269.720 ,€  276.870 ,€  299.530 ,€  331.320 ,€  339.460 ,€  347.490 ,€  355.630 ,€  363.770 ,€  371.910 ,€  379.940 ,€  391.490 ,€  396.220 ,€  398.310 ,€  400.40 ,€  402.380 ,€  404.470 ,€  406.340 ,€  408.320 ,€  411.950 ,€  415.580 ,€  417.560 ,€  419.430 ,€  421.520 ,€  423.50 ,425.59,€  427.680 ,€  436.370 ,€  445.610 ,€  450.340 ,€  455.070 ,€  459.580 ,€  464.20 ,€  468.050 ,€  471.90 ,€  478.610 ,€  488.950 ,€  494.780 ,€  500.610 ,€  506.880 ,€  513.150 
NLR,BE,26,Export,€  61.270 ,€  72.820 ,€  78.760 ,€  83.60 ,€  89.540 ,€  95.480 ,€  102.630 ,€  116.930 ,€  136.070 ,€  154.0 ,€  185.020 ,€  213.620 ,€  227.920 ,€  235.070 ,€  241.010 ,€  253.0 ,€  269.720 ,€  276.870 ,€  299.530 ,€  331.320 ,€  339.460 ,€  347.490 ,€  355.630 ,€  363.770 ,€  371.910 ,€  379.940 ,€  391.490 ,€  396.220 ,€  398.310 ,€  400.40 ,€  402.380 ,€  404.470 ,€  406.340 ,€  408.320 ,€  411.950 ,€  415.580 ,€  417.560 ,€  419.430 ,€  421.520 ,€  423.50 ,425.59,€  427.680 ,€  436.370 ,€  445.610 ,€  450.340 ,€  455.070 ,€  459.580 ,€  464.20 ,€  468.050 ,€  471.90 ,€  478.610 ,€  488.950 ,€  494.780 ,€  500.610 ,€  506.880 ,€  513.150 
NLR,BE,27,Export,€  61.270 ,€  72.820 ,€  78.760 ,€  83.60 ,€  89.540 ,€  95.480 ,€  102.630 ,€  116.930 ,€  136.070 ,€  154.0 ,€  185.020 ,€  213.620 ,€  227.920 ,€  235.070 ,€  241.010 ,€  253.0 ,€  269.720 ,€  276.870 ,€  299.530 ,€  331.320 ,€  339.460 ,€  347.490 ,€  355.630 ,€  363.770 ,€  371.910 ,€  379.940 ,€  391.490 ,€  396.220 ,€  398.310 ,€  400.40 ,€  402.380 ,€  404.470 ,€  406.340 ,€  408.320 ,€  411.950 ,€  415.580 ,€  417.560 ,€  419.430 ,€  421.520 ,€  423.50 ,425.59,€  427.680 ,€  436.370 ,€  445.610 ,€  450.340 ,€  455.070 ,€  459.580 ,€  464.20 ,€  468.050 ,€  471.90 ,€  478.610 ,€  488.950 ,€  494.780 ,€  500.610 ,€  506.880 ,€  513.150 
NLR,BE,28,Export,€  61.270 ,€  72.820 ,€  78.760 ,€  83.60 ,€  89.540 ,€  95.480 ,€  102.630 ,€  116.930 ,€  136.070 ,€  154.0 ,€  185.020 ,€  213.620 ,€  227.920 ,€  235.070 ,€  241.010 ,€  253.0 ,€  269.720 ,€  276.870 ,€  299.530 ,€  331.320 ,€  339.460 ,€  347.490 ,€  355.630 ,€  363.770 ,€  371.910 ,€  379.940 ,€  391.490 ,€  396.220 ,€  398.310 ,€  400.40 ,€  402.380 ,€  404.470 ,€  406.340 ,€  408.320 ,€  411.950 ,€  415.580 ,€  417.560 ,€  419.430 ,€  421.520 ,€  423.50 ,425.59,€  427.680 ,€  436.370 ,€  445.610 ,€  450.340 ,€  455.070 ,€  459.580 ,€  464.20 ,€  468.050 ,€  471.90 ,€  478.610 ,€  488.950 ,€  494.780 ,€  500.610 ,€  506.880 ,€  513.150 
NLR,BE,29,Export,€  61.270 ,€  72.820 ,€  78.760 ,€  83.60 ,€  89.540 ,€  95.480 ,€  102.630 ,€  116.930 ,€  136.070 ,€  154.0 ,€  185.020 ,€  213.620 ,€  227.920 ,€  235.070 ,€  241.010 ,€  253.0 ,€  269.720 ,€  276.870 ,€  299.530 ,€  331.320 ,€  339.460 ,€  347.490 ,€  355.630 ,€  363.770 ,€  371.910 ,€  379.940 ,€  391.490 ,€  396.220 ,€  398.310 ,€  400.40 ,€  402.380 ,€  404.470 ,€  406.340 ,€  408.320 ,€  411.950 ,€  415.580 ,€  417.560 ,€  419.430 ,€  421.520 ,€  423.50 ,425.59,€  427.680 ,€  436.370 ,€  445.610 ,€  450.340 ,€  455.070 ,€  459.580 ,€  464.20 ,€  468.050 ,€  471.90 ,€  478.610 ,€  488.950 ,€  494.780 ,€  500.610 ,€  506.880 ,€  513.150 
