Zone Netherlands,Country,ZIP,Flow,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1,LDM-1.2,LDM-1.5,LDM-1.6,LDM-2,LDM-2.4,LDM-2.5,LDM-2.8,LDM-3,LDM-3.2,LDM-3.5,LDM-3.6,LDM-4,LDM-4.4,LDM-4.5,LDM-4.8,LDM-5,LDM-5.2,LDM-5.5,LDM-5.6,LDM-6,LDM-6.4,LDM-6.5,LDM-6.8,LDM-7,LDM-7.2,LDM-7.5,LDM-7.6,LDM-8,LDM-8.4,LDM-8.5,LDM-8.8,LDM-9,LDM-9.2,LDM-9.5,LDM-9.6,LDM-10,LDM-10.4,LDM-10.5,LDM-10.8,LDM-11,LDM-11.2,LDM-11.5,LDM-11.6,LDM-13
NL,NO,1,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,2,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,3,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,4,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,5,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,6,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,7,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,8,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,9,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,10,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,11,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,12,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,13,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,14,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,15,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,16,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,17,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,18,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,19,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,20,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,21,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,22,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,23,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,24,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,25,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,26,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,27,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,28,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,29,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,30,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,31,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,32,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,33,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,34,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,35,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,36,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,37,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,38,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,39,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,40,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,41,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,42,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,43,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,44,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,45,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,46,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,47,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,48,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
NL,NO,49,Export,265,265,265,265,294,367,392,490,588,612,686,735,784,857,882,980,1078,1102,1176,1225,1274,1347,1372,1470,1568,1592,1666,1715,1764,1837,1862,1960,2058,2082,2156,2205,2254,2327,2352,2450,2548,2572,2646,2695,2744,2817,2842,2940
