Zone Netherlands,Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.5,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.5,LDM-2.8,LDM-3.0,LDM-3.2,LDM-3.6,LDM-4.0,LDM-4.5,LDM-4.8,LDM-5.0,LDM-5.2,LDM-5.6,LDM-6.0,LDM-6.5,LDM-6.8,LDM-7.0,LDM-7.2,LDM-7.5,LDM-7.6,LDM-8.0
NL,AT,1,Export,"€122,05","€199,48","€235,55","€331,58","€376,88","€432,41","€504,71","€545,82","€647,44","€718,11","€767,35","€823,63","€843,92","€884,68","€914,68","€944,68","€975,78","€1.046,68","€1.102,96","€1.123,18","€1.199,67","€1.274,67","€1.331,22","€1.406,62","€1.443,37","€1.481,62","€1.537,49","€1.556,62","€1.607,57"
NL,AT,2,Export,"€122,05","€199,48","€235,55","€331,58","€376,88","€432,41","€504,71","€545,82","€647,44","€718,11","€767,35","€823,63","€843,92","€884,68","€914,68","€944,68","€975,78","€1.046,68","€1.102,96","€1.123,18","€1.199,67","€1.274,67","€1.331,22","€1.406,62","€1.443,37","€1.481,62","€1.537,49","€1.556,62","€1.607,57"
NL,AT,30,Export,"€122,05","€199,48","€235,55","€331,58","€376,88","€432,41","€504,71","€545,82","€647,44","€718,11","€767,35","€823,63","€843,92","€884,68","€914,68","€944,68","€975,78","€1.046,68","€1.102,96","€1.123,18","€1.199,67","€1.274,67","€1.331,22","€1.406,62","€1.443,37","€1.481,62","€1.537,49","€1.556,62","€1.607,57"
NL,AT,31,Export,"€122,05","€199,48","€235,55","€331,58","€376,88","€432,41","€504,71","€545,82","€647,44","€718,11","€767,35","€823,63","€843,92","€884,68","€914,68","€944,68","€975,78","€1.046,68","€1.102,96","€1.123,18","€1.199,67","€1.274,67","€1.331,22","€1.406,62","€1.443,37","€1.481,62","€1.537,49","€1.556,62","€1.607,57"
NL,AT,32,Export,"€125,37","€205,33","€242,49","€342,14","€388,65","€445,20","€519,73","€561,81","€670,74","€741,42","€802,61","€858,89","€879,18","€919,94","€944,20","€968,46","€993,81","€1.069,21","€1.117,98","€1.142,70","€1.219,20","€1.291,19","€1.352,26","€1.424,65","€1.461,40","€1.499,65","€1.557,03","€1.577,65","€1.631,60"
NL,AT,33,Export,"€122,05","€199,48","€235,55","€331,58","€376,88","€432,41","€504,71","€545,82","€647,44","€718,11","€767,35","€823,63","€843,92","€884,68","€914,68","€944,68","€975,78","€1.046,68","€1.102,96","€1.123,18","€1.199,67","€1.274,67","€1.331,22","€1.406,62","€1.443,37","€1.481,62","€1.537,49","€1.556,62","€1.607,57"
NL,AT,34,Export,"€125,37","€205,33","€242,49","€342,14","€388,65","€445,20","€519,73","€561,81","€670,74","€741,42","€802,61","€858,89","€879,18","€919,94","€944,20","€968,46","€993,81","€1.069,21","€1.117,98","€1.142,70","€1.219,20","€1.291,19","€1.352,26","€1.424,65","€1.461,40","€1.499,65","€1.557,03","€1.577,65","€1.631,60"
NL,AT,35,Export,"€125,37","€205,33","€242,49","€342,14","€388,65","€445,20","€519,73","€561,81","€670,74","€741,42","€802,61","€858,89","€879,18","€919,94","€944,20","€968,46","€993,81","€1.069,21","€1.117,98","€1.142,70","€1.219,20","€1.291,19","€1.352,26","€1.424,65","€1.461,40","€1.499,65","€1.557,03","€1.577,65","€1.631,60"
NL,AT,36,Export,"€125,37","€205,33","€242,49","€342,14","€388,65","€445,20","€519,73","€561,81","€670,74","€741,42","€802,61","€858,89","€879,18","€919,94","€944,20","€968,46","€993,81","€1.069,21","€1.117,98","€1.142,70","€1.219,20","€1.291,19","€1.352,26","€1.424,65","€1.461,40","€1.499,65","€1.557,03","€1.577,65","€1.631,60"
NL,AT,37,Export,"€130,94","€216,05","€255,53","€360,48","€408,98","€467,23","€544,94","€588,80","€702,27","€772,94","€839,46","€895,75","€916,04","€956,78","€989,46","€1.022,15","€1.055,92","€1.087,50","€1.117,98","€1.142,70","€1.219,20","€1.291,19","€1.352,26","€1.424,65","€1.461,40","€1.499,65","€1.557,03","€1.577,65","€1.631,60"
