Zone Netherlands,Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.5,LDM-0.6,LDM-0.7,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.5,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.5,LDM-2.8,LDM-3.0,LDM-3.2,LDM-3.6,LDM-4.0,LDM-4.5,LDM-4.8,LDM-5.0,LDM-5.2,LDM-5.6,LDM-6.0,LDM-6.5,LDM-6.8,LDM-7.0,LDM-7.2,LDM-7.5,LDM-7.6,LDM-8.0,LDM-8.4,LDM-8.5,LDM-8.8,LDM-9.0,LDM-9.2,LDM-9.5,LDM-9.6,LDM-10.0
NL,CH,1,Export,"125,36","167,13","211,23","246,45","263,75","286,09","335,95","364,23","429,59","470,41","527,27","587,58","616,76","652,42","672,61","719,38","740,68","789,20","818,52","871,48","893,76","928,07","962,31","988,72","1.045,19","1.095,61","1.122,20","1.147,90","1.177,05","1.203,36","1.254,77","1.295,06","1.310,13","1.338,46","1.357,35","1.398,98","1.412,32","1.422,84","1.458,54"
NL,CH,10,Export,"190,84","265,35","342,19","400,53","417,84","440,88","475,50","506,27","570,23","599,87","641,72","714,76","750,29","800,00","819,79","866,55","915,27","961,31","994,59","1.060,22","1.093,63","1.127,90","1.194,52","1.260,31","1.330,64","1.393,81","1.416,51","1.453,04","1.473,25","1.505,34","1.530,00","1.568,48","1.586,74","1.620,79","1.643,49","1.714,57","1.752,07","1.815,26","1.860,66"
NL,CH,11,Export,"190,84","265,35","342,19","400,53","417,84","440,88","475,50","506,27","570,23","599,87","641,72","714,76","750,29","800,00","819,79","866,55","915,27","961,31","994,59","1.060,22","1.093,63","1.127,90","1.194,52","1.260,31","1.330,64","1.393,81","1.416,51","1.453,04","1.473,25","1.505,34","1.530,00","1.568,48","1.586,74","1.620,79","1.643,49","1.714,57","1.752,07","1.815,26","1.860,66"
NL,CH,12,Export,"200,48","278,83","359,53","419,80","437,10","474,83","561,28","589,56","624,90","670,11","705,12","785,21","824,28","851,36","871,16","923,21","976,82","1.035,66","1.072,24","1.142,92","1.178,87","1.215,66","1.287,34","1.358,20","1.433,60","1.502,61","1.539,32","1.575,16","1.613,79","1.649,58","1.677,94","1.719,95","1.739,97","1.777,19","1.802,00","1.880,13","1.921,16","1.990,69","2.040,31"
NL,CH,13,Export,"190,84","265,35","342,19","400,53","417,84","440,88","475,50","506,27","570,23","599,87","641,72","714,76","750,29","800,00","819,79","866,55","915,27","961,31","994,59","1.060,22","1.093,63","1.127,90","1.194,52","1.260,31","1.330,64","1.393,81","1.416,51","1.453,04","1.473,25","1.505,34","1.530,00","1.568,48","1.586,74","1.620,79","1.643,49","1.714,57","1.752,07","1.815,26","1.860,66"
NL,CH,14,Export,"190,84","265,35","342,19","400,53","417,84","440,88","475,50","506,27","570,23","599,87","641,72","714,76","750,29","800,00","819,79","866,55","915,27","961,31","994,59","1.060,22","1.093,63","1.127,90","1.194,52","1.260,31","1.330,64","1.393,81","1.416,51","1.453,04","1.473,25","1.505,34","1.530,00","1.568,48","1.586,74","1.620,79","1.643,49","1.714,57","1.752,07","1.815,26","1.860,66"
NL,CH,15,Export,"190,84","265,35","342,19","400,53","417,84","440,88","475,50","506,27","570,23","599,87","641,72","714,76","750,29","800,00","819,79","866,55","915,27","961,31","994,59","1.060,22","1.093,63","1.127,90","1.194,52","1.260,31","1.330,64","1.393,81","1.416,51","1.453,04","1.473,25","1.505,34","1.530,00","1.568,48","1.586,74","1.620,79","1.643,49","1.714,57","1.752,07","1.815,26","1.860,66"
NL,CH,16,Export,"190,84","265,35","342,19","400,53","417,84","440,88","475,50","506,27","570,23","599,87","641,72","714,76","750,29","800,00","819,79","866,55","915,27","961,31","994,59","1.060,22","1.093,63","1.127,90","1.194,52","1.260,31","1.330,64","1.393,81","1.416,51","1.453,04","1.473,25","1.505,34","1.530,00","1.568,48","1.586,74","1.620,79","1.643,49","1.714,57","1.752,07","1.815,26","1.860,66"
NL,CH,17,Export,"190,84","265,35","342,19","400,53","417,84","440,88","475,50","506,27","570,23","599,87","641,72","714,76","750,29","800,00","819,79","866,55","915,27","961,31","994,59","1.060,22","1.093,63","1.127,90","1.194,52","1.260,31","1.330,64","1.393,81","1.416,51","1.453,04","1.473,25","1.505,34","1.530,00","1.568,48","1.586,74","1.620,79","1.643,49","1.714,57","1.752,07","1.815,26","1.860,66"
NL,CH,18,Export,"190,84","265,35","342,19","400,53","417,84","440,88","475,50","506,27","570,23","599,87","641,72","714,76","750,29","800,00","819,79","866,55","915,27","961,31","994,59","1.060,22","1.093,63","1.127,90","1.194,52","1.260,31","1.330,64","1.393,81","1.416,51","1.453,04","1.473,25","1.505,34","1.530,00","1.568,48","1.586,74","1.620,79","1.643,49","1.714,57","1.752,07","1.815,26","1.860,66"
