Zone Netherlands,Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.5,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.5,LDM-2.8,LDM-3.0,LDM-3.2,LDM-3.5,LDM-3.6,LDM-4.0,LDM-4.4,LDM-4.5,LDM-4.8,LDM-5.0,LDM-5.2,LDM-5.5,LDM-5.6,LDM-6.0,LDM-6.4,LDM-6.5,LDM-6.8,LDM-7.0,LDM-7.2,LDM-7.5,LDM-7.6,LDM-8.0,LDM-8.4,LDM-8.5,LDM-8.8,LDM-9.0,LDM-9.2,LDM-9.5,LDM-9.6,LDM-10.0
NL,DE,1,Export,"€80,08","€120,15","€190,12","€225,34","€341,95","€319,97","€395,46","€452,96","€506,44","€559,93","€613,41","€666,90","€720,39","€771,65","€826,77","€844,25","€916,85","€955,83","€973,31","€1.009,61","€1.028,43","€1.047,25","€1.083,54","€1.101,02","€1.138,66","€1.174,96","€1.193,79","€1.230,08","€1.248,90","€1.267,72","€1.283,85","€1.302,67","€1.340,32","€1.376,61","€1.395,43","€1.433,08","€1.450,55","€1.468,03","€1.505,67","€1.524,49","€1.560,79"
NL,DE,19,Export,"€74,99","€109,60","€169,08","€204,37","€301,01","€288,42","€354,39","€405,99","€463,80","€492,03","€505,47","€549,84","€578,07","€607,65","€649,32","€666,80","€721,91","€752,84","€764,93","€794,51","€809,30","€824,08","€853,66","€865,76","€895,33","€926,26","€939,70","€967,93","€982,72","€996,16","€1.012,30","€1.027,08","€1.055,32","€1.084,89","€1.098,34","€1.127,91","€1.142,69","€1.156,14","€1.185,71","€1.199,16","€1.228,73"
NL,DE,20,Export,"€73,41","€105,46","€162,03","€196,40","€287,62","€279,03","€342,41","€369,69","€420,78","€447,67","€463,80","€500,10","€526,99","€555,22","€594,20","€607,65","€661,42","€685,61","€700,41","€725,95","€739,39","€754,18","€779,73","€790,47","€817,36","€844,25","€857,70","€884,58","€899,37","€910,12","€926,26","€937,01","€963,90","€989,44","€1.002,89","€1.031,11","€1.043,21","€1.056,65","€1.083,54","€1.095,64","€1.122,53"
NL,DE,21,Export,"€73,13","€104,86","€160,39","€194,66","€279,52","€271,36","€287,60","€305,17","€349,53","€371,04","€384,48","€415,41","€436,91","€461,12","€492,03","€501,44","€547,15","€568,66","€579,42","€600,92","€613,02","€622,44","€645,29","€656,04","€678,89","€700,41","€709,82","€734,02","€744,77","€755,52","€764,93","€777,03","€799,89","€820,05","€832,15","€853,66","€863,07","€876,51","€895,33","€907,44","€930,29"
NL,DE,22,Export,"€73,41","€105,46","€162,03","€196,40","€287,62","€279,03","€342,41","€369,69","€420,78","€447,67","€463,80","€500,10","€526,99","€555,22","€594,20","€607,65","€661,42","€685,61","€700,41","€725,95","€739,39","€754,18","€779,73","€790,47","€817,36","€844,25","€857,70","€884,58","€899,37","€910,12","€926,26","€937,01","€963,90","€989,44","€1.002,89","€1.031,11","€1.043,21","€1.056,65","€1.083,54","€1.095,64","€1.122,53"
NL,DE,23,Export,"€74,99","€109,60","€169,08","€204,37","€301,01","€288,42","€354,39","€405,99","€463,80","€492,03","€505,47","€549,84","€578,07","€607,65","€649,32","€666,80","€721,91","€752,84","€764,93","€794,51","€809,30","€824,08","€853,66","€865,76","€895,33","€926,26","€939,70","€967,93","€982,72","€996,16","€1.012,30","€1.027,08","€1.055,32","€1.084,89","€1.098,34","€1.127,91","€1.142,69","€1.156,14","€1.185,71","€1.199,16","€1.228,73"
NL,DE,24,Export,"€74,99","€109,60","€169,08","€204,37","€301,01","€288,42","€354,39","€405,99","€463,80","€492,03","€505,47","€549,84","€578,07","€607,65","€649,32","€666,80","€721,91","€752,84","€764,93","€794,51","€809,30","€824,08","€853,66","€865,76","€895,33","€926,26","€939,70","€967,93","€982,72","€996,16","€1.012,30","€1.027,08","€1.055,32","€1.084,89","€1.098,34","€1.127,91","€1.142,69","€1.156,14","€1.185,71","€1.199,16","€1.228,73"
NL,DE,25,Export,"€74,99","€109,60","€169,08","€204,37","€301,01","€288,42","€354,39","€405,99","€463,80","€492,03","€505,47","€549,84","€578,07","€607,65","€649,32","€666,80","€721,91","€752,84","€764,93","€794,51","€809,30","€824,08","€853,66","€865,76","€895,33","€926,26","€939,70","€967,93","€982,72","€996,16","€1.012,30","€1.027,08","€1.055,32","€1.084,89","€1.098,34","€1.127,91","€1.142,69","€1.156,14","€1.185,71","€1.199,16","€1.228,73"
NL,DE,26,Export,"€72,90","€105,12","€157,93","€193,82","€218,89","€235,55","€252,21","€268,87","€307,85","€326,68","€336,09","€365,67","€385,83","€401,96","€432,88","€442,29","€481,28","€498,75","€509,51","€526,99","€539,08","€548,49","€567,31","€575,38","€595,55","€615,72","€623,78","€643,94","€653,35","€662,76","€673,52","€682,93","€701,75","€719,23","€731,32","€751,49","€759,56","€768,97","€786,45","€795,86","€816,02"
NL,DE,27,Export,"€72,90","€105,12","€157,93","€193,82","€218,89","€235,55","€252,21","€268,87","€307,85","€326,68","€336,09","€365,67","€385,83","€401,96","€432,88","€442,29","€481,28","€498,75","€509,51","€526,99","€539,08","€548,49","€567,31","€575,38","€595,55","€615,72","€623,78","€643,94","€653,35","€662,76","€673,52","€682,93","€701,75","€719,23","€731,32","€751,49","€759,56","€768,97","€786,45","€795,86","€816,02"
