Zone Netherlands,Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.5,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.5,LDM-2.8,LDM-3.0,LDM-3.2,LDM-3.5,LDM-3.6,LDM-4.0,LDM-4.4,LDM-4.5,LDM-4.8,LDM-5.0,LDM-5.2,LDM-5.5,LDM-5.6,LDM-6.0,LDM-6.4,LDM-6.5,LDM-6.8,LDM-7.0,LDM-7.2,LDM-7.5,LDM-7.6,LDM-8.0,LDM-8.4,LDM-8.5,LDM-8.8,LDM-9.0,LDM-9.2,LDM-9.5,LDM-9.6,LDM-10.0
NL,DE,1,Import,"€72,08","€108,14","€171,11","€202,80","€307,76","€287,97","€355,92","€407,66","€455,80","€503,94","€552,07","€600,21","€648,35","€694,49","€744,10","€759,83","€825,16","€860,25","€875,98","€908,65","€925,59","€942,53","€975,19","€990,92","€1.024,80","€1.057,47","€1.074,41","€1.107,07","€1.124,01","€1.140,95","€1.155,47","€1.172,41","€1.206,29","€1.238,95","€1.255,89","€1.289,77","€1.305,50","€1.321,23","€1.355,10","€1.372,04","€1.404,71"
NL,DE,2,Import,"€72,08","€108,14","€171,11","€202,80","€307,76","€287,97","€355,92","€407,66","€455,80","€503,94","€552,07","€600,21","€648,35","€694,49","€744,10","€759,83","€825,16","€860,25","€875,98","€908,65","€925,59","€942,53","€975,19","€990,92","€1.024,80","€1.057,47","€1.074,41","€1.107,07","€1.124,01","€1.140,95","€1.155,47","€1.172,41","€1.206,29","€1.238,95","€1.255,89","€1.289,77","€1.305,50","€1.321,23","€1.355,10","€1.372,04","€1.404,71"
NL,DE,3,Import,"€72,08","€108,14","€171,11","€202,80","€307,76","€287,97","€355,92","€407,66","€455,80","€503,94","€552,07","€600,21","€648,35","€694,49","€744,10","€759,83","€825,16","€860,25","€875,98","€908,65","€925,59","€942,53","€975,19","€990,92","€1.024,80","€1.057,47","€1.074,41","€1.107,07","€1.124,01","€1.140,95","€1.155,47","€1.172,41","€1.206,29","€1.238,95","€1.255,89","€1.289,77","€1.305,50","€1.321,23","€1.355,10","€1.372,04","€1.404,71"
NL,DE,4,Import,"€68,26","€99,93","€155,52","€186,87","€278,78","€264,78","€325,96","€387,15","€448,33","€509,51","€548,09","€596,49","€626,73","€659,40","€705,38","€722,32","€784,02","€815,48","€830,00","€862,67","€877,19","€892,92","€925,59","€941,32","€971,56","€1.003,02","€1.019,96","€1.051,41","€1.064,73","€1.080,45","€1.099,81","€1.114,33","€1.144,57","€1.174,83","€1.191,76","€1.223,22","€1.238,95","€1.254,68","€1.286,14","€1.301,87","€1.332,11"
NL,DE,6,Import,"€68,26","€99,93","€155,52","€186,87","€278,78","€264,78","€325,96","€387,15","€448,33","€509,51","€548,09","€596,49","€626,73","€659,40","€705,38","€722,32","€784,02","€815,48","€830,00","€862,67","€877,19","€892,92","€925,59","€941,32","€971,56","€1.003,02","€1.019,96","€1.051,41","€1.064,73","€1.080,45","€1.099,81","€1.114,33","€1.144,57","€1.174,83","€1.191,76","€1.223,22","€1.238,95","€1.254,68","€1.286,14","€1.301,87","€1.332,11"
NL,DE,7,Import,"€68,26","€99,93","€155,52","€186,87","€278,78","€264,78","€325,96","€387,15","€448,33","€509,51","€548,09","€596,49","€626,73","€659,40","€705,38","€722,32","€784,02","€815,48","€830,00","€862,67","€877,19","€892,92","€925,59","€941,32","€971,56","€1.003,02","€1.019,96","€1.051,41","€1.064,73","€1.080,45","€1.099,81","€1.114,33","€1.144,57","€1.174,83","€1.191,76","€1.223,22","€1.238,95","€1.254,68","€1.286,14","€1.301,87","€1.332,11"
NL,DE,8,Import,"€72,08","€108,14","€171,11","€202,80","€307,76","€287,97","€355,92","€407,66","€455,80","€503,94","€552,07","€600,21","€648,35","€694,49","€744,10","€759,83","€825,16","€860,25","€875,98","€908,65","€925,59","€942,53","€975,19","€990,92","€1.024,80","€1.057,47","€1.074,41","€1.107,07","€1.124,01","€1.140,95","€1.155,47","€1.172,41","€1.206,29","€1.238,95","€1.255,89","€1.289,77","€1.305,50","€1.321,23","€1.355,10","€1.372,04","€1.404,71"
NL,DE,9,Import,"€72,08","€108,14","€171,11","€202,80","€307,76","€287,97","€355,92","€407,66","€455,80","€503,94","€552,07","€600,21","€648,35","€694,49","€744,10","€759,83","€825,16","€860,25","€875,98","€908,65","€925,59","€942,53","€975,19","€990,92","€1.024,80","€1.057,47","€1.074,41","€1.107,07","€1.124,01","€1.140,95","€1.155,47","€1.172,41","€1.206,29","€1.238,95","€1.255,89","€1.289,77","€1.305,50","€1.321,23","€1.355,10","€1.372,04","€1.404,71"
NL,DE,10,Import,"€68,26","€99,93","€155,52","€186,87","€278,78","€264,78","€325,96","€387,15","€448,33","€509,51","€548,09","€596,49","€626,73","€659,40","€705,38","€722,32","€784,02","€815,48","€830,00","€862,67","€877,19","€892,92","€925,59","€941,32","€971,56","€1.003,02","€1.019,96","€1.051,41","€1.064,73","€1.080,45","€1.099,81","€1.114,33","€1.144,57","€1.174,83","€1.191,76","€1.223,22","€1.238,95","€1.254,68","€1.286,14","€1.301,87","€1.332,11"
NL,DE,12,Import,"€68,26","€99,93","€155,52","€186,87","€278,78","€264,78","€325,96","€387,15","€448,33","€509,51","€548,09","€596,49","€626,73","€659,40","€705,38","€722,32","€784,02","€815,48","€830,00","€862,67","€877,19","€892,92","€925,59","€941,32","€971,56","€1.003,02","€1.019,96","€1.051,41","€1.064,73","€1.080,45","€1.099,81","€1.114,33","€1.144,57","€1.174,83","€1.191,76","€1.223,22","€1.238,95","€1.254,68","€1.286,14","€1.301,87","€1.332,11"
NL,DE,13,Import,"€68,26","€99,93","€155,52","€186,87","€278,78","€264,78","€325,96","€387,15","€448,33","€509,51","€548,09","€596,49","€626,73","€659,40","€705,38","€722,32","€784,02","€815,48","€830,00","€862,67","€877,19","€892,92","€925,59","€941,32","€971,56","€1.003,02","€1.019,96","€1.051,41","€1.064,73","€1.080,45","€1.099,81","€1.114,33","€1.144,57","€1.174,83","€1.191,76","€1.223,22","€1.238,95","€1.254,68","€1.286,14","€1.301,87","€1.332,11"
NL,DE,14,Import,"€68,26","€99,93","€155,52","€186,87","€278,78","€264,78","€325,96","€387,15","€448,33","€509,51","€548,09","€596,49","€626,73","€659,40","€705,38","€722,32","€784,02","€815,48","€830,00","€862,67","€877,19","€892,92","€925,59","€941,32","€971,56","€1.003,02","€1.019,96","€1.051,41","€1.064,73","€1.080,45","€1.099,81","€1.114,33","€1.144,57","€1.174,83","€1.191,76","€1.223,22","€1.238,95","€1.254,68","€1.286,14","€1.301,87","€1.332,11"
NL,DE,15,Import,"€68,26","€99,93","€155,52","€186,87","€278,78","€264,78","€325,96","€387,15","€448,33","€509,51","€548,09","€596,49","€626,73","€659,40","€705,38","€722,32","€784,02","€815,48","€830,00","€862,67","€877,19","€892,92","€925,59","€941,32","€971,56","€1.003,02","€1.019,96","€1.051,41","€1.064,73","€1.080,45","€1.099,81","€1.114,33","€1.144,57","€1.174,83","€1.191,76","€1.223,22","€1.238,95","€1.254,68","€1.286,14","€1.301,87","€1.332,11"
NL,DE,16,Import,"€68,26","€99,93","€155,52","€186,87","€278,78","€264,78","€325,96","€387,15","€448,33","€509,51","€548,09","€596,49","€626,73","€659,40","€705,38","€722,32","€784,02","€815,48","€830,00","€862,67","€877,19","€892,92","€925,59","€941,32","€971,56","€1.003,02","€1.019,96","€1.051,41","€1.064,73","€1.080,45","€1.099,81","€1.114,33","€1.144,57","€1.174,83","€1.191,76","€1.223,22","€1.238,95","€1.254,68","€1.286,14","€1.301,87","€1.332,11"
NL,DE,17,Import,"€72,08","€108,14","€171,11","€202,80","€307,76","€287,97","€355,92","€407,66","€455,80","€503,94","€552,07","€600,21","€648,35","€694,49","€744,10","€759,83","€825,16","€860,25","€875,98","€908,65","€925,59","€942,53","€975,19","€990,92","€1.024,80","€1.057,47","€1.074,41","€1.107,07","€1.124,01","€1.140,95","€1.155,47","€1.172,41","€1.206,29","€1.238,95","€1.255,89","€1.289,77","€1.305,50","€1.321,23","€1.355,10","€1.372,04","€1.404,71"
NL,DE,18,Import,"€72,08","€108,14","€171,11","€202,80","€307,76","€287,97","€355,92","€407,66","€455,80","€503,94","€552,07","€600,21","€648,35","€694,49","€744,10","€759,83","€825,16","€860,25","€875,98","€908,65","€925,59","€942,53","€975,19","€990,92","€1.024,80","€1.057,47","€1.074,41","€1.107,07","€1.124,01","€1.140,95","€1.155,47","€1.172,41","€1.206,29","€1.238,95","€1.255,89","€1.289,77","€1.305,50","€1.321,23","€1.355,10","€1.372,04","€1.404,71"
NL,DE,19,Import,"€67,49","€98,64","€152,17","€183,93","€270,91","€259,57","€318,95","€365,39","€417,42","€442,83","€454,92","€494,85","€520,26","€546,89","€584,39","€600,12","€649,72","€677,55","€688,44","€715,06","€728,37","€741,67","€768,30","€779,19","€805,80","€833,63","€845,73","€871,14","€884,45","€896,54","€911,07","€924,38","€949,79","€976,40","€988,50","€1.015,12","€1.028,42","€1.040,53","€1.067,14","€1.079,24","€1.105,86"
NL,DE,20,Import,"€66,07","€94,92","€145,83","€176,76","€258,86","€251,12","€308,17","€332,73","€378,70","€402,90","€417,42","€450,09","€474,29","€499,70","€534,78","€546,89","€595,27","€617,05","€630,37","€653,36","€665,45","€678,77","€701,75","€711,43","€735,63","€759,83","€771,93","€796,12","€809,44","€819,11","€833,63","€843,31","€867,51","€890,49","€902,60","€928,00","€938,89","€950,99","€975,19","€986,08","€1.010,28"
