Zone Netherlands,Country,ZIP,Flow,LDM-0.2,LDM-0.4,LDM-0.5,LDM-0.8,LDM-1.0,LDM-1.2,LDM-1.5,LDM-1.6,LDM-2.0,LDM-2.4,LDM-2.5,LDM-2.8,LDM-3.0,LDM-3.2
NL,BG,10,Export,€126.02,€140.02,€147.64,€264.38,€282.00,€384.60,€406.75,€502.37,€619.90,€729.36,€781.94,€834.51,€886.19,€937.86
NL,BG,11,Export,€126.02,€140.02,€147.64,€264.38,€282.00,€384.60,€406.75,€502.37,€619.90,€729.36,€781.94,€834.51,€886.19,€937.86
NL,BG,12,Export,€126.02,€140.02,€147.64,€264.38,€282.00,€384.60,€406.75,€502.37,€619.90,€729.36,€781.94,€834.51,€886.19,€937.86
NL,BG,13,Export,€126.02,€140.02,€147.64,€264.38,€282.00,€384.60,€406.75,€502.37,€619.90,€729.36,€781.94,€834.51,€886.19,€937.86
NL,BG,14,Export,€126.02,€140.02,€147.64,€264.38,€282.00,€384.60,€406.75,€502.37,€619.90,€729.36,€781.94,€834.51,€886.19,€937.86
NL,BG,15,Export,€126.02,€140.02,€147.64,€264.38,€282.00,€384.60,€406.75,€502.37,€619.90,€729.36,€781.94,€834.51,€886.19,€937.86
NL,BG,16,Export,€126.02,€140.02,€147.64,€264.38,€282.00,€384.60,€406.75,€502.37,€619.90,€729.36,€781.94,€834.51,€886.19,€937.86
NL,BG,17,Export,€126.02,€140.02,€147.64,€264.38,€282.00,€384.60,€406.75,€502.37,€619.90,€729.36,€781.94,€834.51,€886.19,€937.86
NL,BG,18,Export,€126.02,€140.02,€147.64,€264.38,€282.00,€384.60,€406.75,€502.37,€619.90,€729.36,€781.94,€834.51,€886.19,€937.86
NL,BG,20,Export,€138.92,€154.35,€166.46,€290.93,€315.33,€423.78,€463.75,€566.09,€711.32,€832.80,€891.68,€950.56,€1007.95,€1065.34
NL,BG,21,Export,€138.92,€154.35,€166.46,€290.93,€315.33,€423.78,€463.75,€566.09,€711.32,€832.80,€891.68,€950.56,€1007.95,€1065.34
NL,BG,22,Export,€133.43,€148.26,€158.23,€279.28,€300.74,€406.44,€438.08,€537.31,€669.63,€785.52,€841.46,€897.40,€952.12,€1006.83
NL,BG,23,Export,€133.43,€148.26,€158.23,€279.28,€300.74,€406.44,€438.08,€537.31,€669.63,€785.52,€841.46,€897.40,€952.12,€1006.83
NL,BG,24,Export,€138.92,€154.35,€166.46,€290.93,€315.33,€423.78,€463.75,€566.09,€711.32,€832.80,€891.68,€950.56,€1007.95,€1065.34
NL,BG,25,Export,€138.92,€154.35,€166.46,€290.93,€315.33,€423.78,€463.75,€566.09,€711.32,€832.80,€891.68,€950.56,€1007.95,€1065.34
NL,BG,26,Export,€133.43,€148.26,€158.23,€279.28,€300.74,€406.44,€438.08,€537.31,€669.63,€785.52,€841.46,€897.40,€952.12,€1006.83
